grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_C2H3F2(66),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_CF2O2(848),Y_S(961),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3687),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(6705),Y_S(6716),Y_S(7175),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074),Y_S(11306),Y_S(11379),Y_S(11400),Y_S(11401),Y_S(11405)
0.0,0.15978155063129598,298.0,1.2117471981531933,0.6666568594891944,0.0,0.08005722468836743,0.0,0.05076857466399049,0.2025173411578072,0.0,0.0,4.070906611943578e-14,0.0,5.995868700505605e-16,3.4147381074715506e-14,3.231545492045975e-14,0.0,0.0,2.0361682412563226e-15,0.0,4.3865041348513917e-16,0.0,4.1646749722308803e-22,0.0,5.5526705221638875e-15,2.8322898275410057e-19,0.0,0.0,0.0,8.56519170578317e-14,0.0,0.0,1.6625032715700054e-29,1.0232431630801892e-13,9.312902278080896e-17,2.1569009634676355e-16,0.0,0.0,0.0,0.0,1.2192621454708252e-25,1.249423100338111e-16,7.35975504752622e-15,6.20447275689257e-17,1.6428500258406378e-15,2.1948207539283263e-16,1.0983222499422042e-14,3.0074832600173e-14,9.792649225165435e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.447001984560509e-14,0.0,0.0,0.0,3.333095097815656e-32,0.0,0.0,4.0845098334955736e-32,3.0115339622458402e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3862667752370453e-16,0.0,0.0,0.0,0.0,0.0,1.0059208527672457e-17,0.0,3.67571256483029e-18,0.0,3.923248149678012e-34,0.0,0.0,1.3646385595557741e-34,1.0259180554202465e-31,1.5003504831576103e-34,6.548463906527122e-19,0.0,8.291120710869873e-23,1.4750075843141483e-14,0.0,6.780163698942695e-20,7.545326665746009e-39,0.0,0.0,0.0,0.0,2.3956497683341264e-15,0.0,0.0,0.0,1.00103505536354e-19,0.0,5.531886844144896e-31,0.0,0.0,1.781613275961655e-16,6.402932395807988e-21,8.658293949449423e-15,0.0,0.0,0.0,0.0,2.0448536899738602e-14,0.0,0.0,0.0,0.0,4.368366012594975e-21,5.37435862383043e-34,1.5373439640184354e-14,0.0,1.985066978392517e-14,3.8123101913059906e-16,0.0,0.0,0.0,0.0,0.0,8.941460499403125e-18,1.388898141580608e-16,9.397562064805318e-17,1.4296252071582577e-13,0.0,7.554410081955278e-16,0.0,0.0,0.0,0.0,0.0,1.139553149436919e-33,4.09002548501906e-14,4.6536561398447655e-15,0.0,0.0,0.0
0.016,0.1597815506332174,297.9999999990938,1.2117471981392434,0.6666568594879169,0.0,0.0800572246888202,0.0,0.05076857466384593,0.20251734115747416,0.0,0.0,1.805846922023799e-21,0.0,1.2888712298623787e-21,0.0,1.1451029170775126e-12,0.0,0.0,2.6115975376642957e-13,0.0,5.638871888399937e-14,0.0,7.06845703654938e-20,0.0,0.0,3.938046683281679e-17,0.0,0.0,8.795119977914574e-18,9.987957074166459e-21,0.0,0.0,7.996261309543992e-27,1.0230282470447096e-13,1.7051816198439585e-23,3.5752267565311654e-14,0.0,0.0,0.0,0.0,2.2110787880447834e-23,1.2492927914665728e-16,4.046237814953147e-22,7.84077409586873e-15,1.642850027671398e-15,2.1948171228922382e-16,1.0983222491368697e-14,3.0074832386001025e-14,2.473795762620864e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4470523286531296e-14,0.0,0.0,0.0,4.158199057456418e-39,0.0,0.0,2.2777289972112568e-29,1.6993739986967204e-30,3.240032934469931e-21,0.0,0.0,0.0,5.963168543048981e-18,0.0,0.0,0.0,0.0,0.0,1.0665560810983106e-22,0.0,0.0,0.0,0.0,0.0,4.690111793270044e-15,0.0,1.5921406750955252e-24,0.0,4.476942920296067e-33,0.0,0.0,6.334971018293605e-32,4.902789436955138e-29,6.357020358554558e-32,3.79562753253998e-16,9.454124735668889e-19,8.305592757428219e-23,1.474910441510069e-14,0.0,2.2224889897658765e-17,2.201369666400753e-36,0.0,0.0,0.0,0.0,5.95379099903413e-22,0.0,0.0,0.0,4.685594193756422e-17,0.0,2.712754065354834e-28,0.0,0.0,1.7708924893113733e-16,3.203257441425996e-18,8.658293950387552e-15,1.1112651854383994e-68,0.0,0.0,0.0,2.04485368982997e-14,0.0,0.0,0.0,0.0,4.3632985275141784e-21,1.9190934776863921e-31,1.5373439637975863e-14,0.0,1.9850669784563385e-14,3.81231019488552e-16,0.0,0.0,0.0,0.0,0.0,3.214943644130252e-15,1.3888981134565822e-16,9.397561121895e-17,1.429626322366067e-13,0.0,7.554410083692633e-16,0.0,0.0,0.0,0.0,0.0,2.626335853609911e-31,4.090025455076055e-14,4.653656139710558e-15,0.0,0.0,0.0
0.032,0.15978155071820924,297.9999999992084,1.211747197494588,0.666656859451688,0.0,0.08005722469483603,4.5101352622818676e-18,0.050768574660688376,0.20251734115137077,0.0,0.0,8.045476088417874e-29,0.0,5.260217634175787e-28,0.0,4.06350506265766e-11,0.0,0.0,2.4524439460072293e-13,0.0,5.6392569543038043e-14,0.0,3.432961799806929e-26,0.0,1.5195220187014907e-19,3.938090313369485e-17,0.0,0.0,8.800967182805027e-18,1.1671380944133898e-27,0.0,0.0,0.0,1.0230037573830182e-13,3.09734412117215e-30,3.5752150792852816e-14,0.0,0.0,0.0,0.0,9.16271340858926e-29,1.2492929301030857e-16,0.0,7.842036012131574e-15,1.6428503288600124e-15,2.1948173866842597e-16,1.0983222523897291e-14,3.007482684267075e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44707384997708e-14,0.0,0.0,7.895614732140033e-31,2.5204006792640916e-45,1.497187919992124e-19,0.0,2.277728996425962e-29,1.699374003680838e-30,6.18081348838359e-24,0.0,0.0,0.0,5.963188386822067e-18,3.9982802522903033e-28,0.0,0.0,0.0,0.0,8.184457950726557e-29,0.0,0.0,0.0,0.0,0.0,4.690118196118022e-15,0.0,4.652791565549341e-25,0.0,0.0,0.0,0.0,8.844525660301076e-33,1.1093216233230238e-32,4.878873344189006e-38,3.795628948684599e-16,1.9167840008513032e-18,8.305618796075255e-23,1.4748133044714074e-14,0.0,6.6945711865122274e-18,2.201369261557903e-36,0.0,0.0,0.0,0.0,1.5715780029749396e-28,0.0,0.0,0.0,2.981061753982862e-17,0.0,2.52996079174186e-28,0.0,0.0,1.7708926369610393e-16,4.1368567516351105e-18,8.658293951159806e-15,1.1112883997550516e-68,0.0,0.0,0.0,2.0448536902101193e-14,0.0,0.0,0.0,0.0,4.363298527226485e-21,1.9190934822710996e-31,1.5373439635195718e-14,0.0,1.9850669784638932e-14,3.812310195730182e-16,0.0,0.0,0.0,0.0,0.0,3.2149444413967292e-15,1.388898113588882e-16,9.397560290615443e-17,1.4296274378685904e-13,0.0,7.554410086439889e-16,0.0,0.0,0.0,0.0,0.0,8.853111474989062e-36,4.0900254253876385e-14,4.653656139784401e-15,0.0,0.0,0.0
0.04,0.15978155185920478,297.9999999994399,1.2117471888415017,0.6666568589640148,0.0,0.08005722477663586,3.0203613945309464e-18,0.05076857461827924,0.20251734106926986,0.0,0.0,7.292910414600958e-36,0.0,7.969682225430456e-30,6.037318363321051e-23,5.710926443803924e-10,0.0,0.0,1.637281948343039e-13,3.797366852490589e-15,5.657463174971452e-14,0.0,0.0,2.0442715131775972e-35,1.0169858681828435e-19,3.938158095682647e-17,0.0,0.0,9.150872228048871e-18,2.7504714952130342e-34,1.6259191265222456e-37,0.0,7.587397395599486e-29,1.023001412854457e-13,0.0,3.575226385871731e-14,0.0,0.0,0.0,0.0,0.0,1.249293014007535e-16,0.0,7.904006184636955e-15,1.6428705636296288e-15,2.1948370568505504e-16,1.0983224185199664e-14,3.0074820622380376e-14,5.789538874082759e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.447084706989951e-14,0.0,0.0,5.832571554844461e-31,0.0,1.0027831330059832e-19,0.0,2.2777289849028915e-29,1.6993739950851868e-30,6.17664401685913e-24,0.0,0.0,0.0,5.963188384580937e-18,3.9999282118747607e-28,0.0,0.0,6.175395520244981e-41,0.0,4.822792355945937e-29,3.949000685993612e-31,0.0,0.0,0.0,0.0,4.690118387047529e-15,0.0,3.118335853692812e-25,2.9274332042158227e-15,0.0,0.0,0.0,1.9142173310725551e-32,1.385214522539974e-32,2.875365062199166e-38,3.795629064675121e-16,2.4024537687716262e-18,8.305638789254118e-23,1.474764739038473e-14,0.0,3.1016750603357653e-18,2.2013687896131493e-36,0.0,0.0,0.0,0.0,8.995468419946663e-30,0.0,0.0,0.0,1.986263399200869e-17,0.0,2.4407119057733862e-28,0.0,0.0,1.7708926885236256e-16,4.448861364012855e-18,8.658293959979732e-15,0.0,0.0,1.5560660884679382e-40,0.0,2.044853692932409e-14,1.1927242543133097e-35,4.59871580440671e-33,0.0,0.0,4.363298531905615e-21,1.919093482085265e-31,1.5373439640627483e-14,0.0,1.9850669805166034e-14,3.8123102012751734e-16,0.0,0.0,0.0,0.0,0.0,3.214944444543616e-15,1.3888981151127883e-16,9.397559492923017e-17,1.429628006770675e-13,0.0,7.554410098084248e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.09002541398019e-14,4.653656143659424e-15,0.0,0.0,0.0
0.044,0.15978155980718903,297.9999999999228,1.2117471285657935,0.6666568555664019,0.0,0.08005722534663104,2.1443829674286348e-18,0.050768574322805016,0.20251734049701015,7.82684625847733e-15,0.0,1.344629524285037e-42,0.0,4.212118306869407e-29,7.195132905789267e-23,4.2664524388196435e-09,0.0,0.0,1.1633859683663698e-13,2.7327200888480963e-14,6.101762134651804e-14,0.0,0.0,2.897762681693683e-35,7.217119753611409e-20,3.939695471883128e-17,0.0,0.0,1.971133255020085e-17,1.3070783142034575e-40,2.3711514286758747e-37,0.0,4.295705412841994e-28,1.0230010158775898e-13,0.0,3.575580944110238e-14,0.0,0.0,0.0,0.0,0.0,1.2492932450815096e-16,0.0,9.391081943598003e-15,1.6435569919198308e-15,2.1955642774633847e-16,1.0983287698785137e-14,3.0074946975738284e-14,6.899864040002212e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4470909839198748e-14,0.0,0.0,4.151435499549594e-31,0.0,7.119644056624736e-20,0.0,2.2777289042185025e-29,1.6993739348909132e-30,6.1766701806232904e-24,0.0,0.0,0.0,5.9631883680983854e-18,3.999928123866845e-28,0.0,0.0,2.47118739126273e-40,0.0,4.822790322499111e-29,4.706325413069515e-31,0.0,9.142425448311465e-37,0.0,0.0,4.690118528014424e-15,0.0,2.2165555819316403e-25,5.154939395435871e-15,1.8254061690120295e-33,0.0,0.0,3.56300192225756e-32,1.5307106902424084e-32,2.875450570547854e-38,3.7956291529987957e-16,2.6452846535688385e-18,8.305650176313455e-23,1.474740469382328e-14,0.0,1.9653135621491028e-18,2.2013779228493437e-36,0.0,0.0,0.0,0.0,8.995394827412335e-30,0.0,0.0,0.0,1.5345716352440913e-17,0.0,2.3977746537529125e-28,0.0,0.0,1.7708927237988926e-16,4.5592701986137566e-18,8.658294022988782e-15,0.0,0.0,2.283003785014356e-40,0.0,2.044853708575067e-14,2.0372287272433502e-35,8.766511963931683e-33,0.0,0.0,4.36329856430003e-21,1.9190934946528471e-31,1.537343972193193e-14,0.0,1.9850669973790965e-14,3.812310261573362e-16,0.0,0.0,0.0,0.0,0.0,3.2149444671441028e-15,1.3888981250744503e-16,9.397559085874593e-17,1.4296282984313322e-13,0.0,7.554410155076062e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.090025430295692e-14,4.653656201173404e-15,0.0,0.0,0.0
0.048,0.1597816362849595,298.00000001156434,1.2117465485760583,0.6666568228755103,0.0,0.08005723083107562,1.1828042622380045e-18,0.05076857147903779,0.20251733499033914,6.405416376658035e-13,0.0,2.553768836680056e-49,0.0,2.147478399482834e-28,8.075265608192479e-23,3.982253394178073e-08,0.0,0.0,6.430799647328484e-14,5.3692869423863803e-14,2.0706562610011939e-13,0.0,0.0,3.3231821940887433e-35,3.97626518913123e-20,4.00618888624193e-17,0.0,1.3625490766768286e-46,4.481978001270481e-16,6.303818535757144e-47,3.1214064670762853e-37,0.0,8.461229252179574e-28,1.0230049457566365e-13,0.0,3.590531446390491e-14,0.0,0.0,0.0,0.0,0.0,1.2493028611272552e-16,0.0,5.745106743166937e-14,1.6748362162742341e-15,2.2316630564998067e-16,1.0986593905401007e-14,3.008039856452994e-14,7.900110964986987e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4471494147939872e-14,0.0,0.0,2.3518645491426563e-31,4.347866997456288e-41,3.927247017595042e-20,0.0,2.2777281304855192e-29,1.699373357694939e-30,6.177069902670835e-24,0.0,0.0,0.0,5.96318821481982e-18,3.9999263809401095e-28,0.0,0.0,2.4711871536449204e-40,0.0,4.8227927104026786e-29,5.282016827569356e-31,0.0,8.189383510116364e-36,0.0,0.0,4.690119140986021e-15,0.0,1.2266281948351504e-25,6.384675744142736e-15,0.0,0.0,0.0,4.035208123634183e-32,1.682970420313376e-32,2.875542747185997e-38,3.7956295286143295e-16,2.8881116164750968e-18,8.3056630846636e-23,1.474716280976449e-14,0.0,1.2445682809003363e-18,2.2017758506279755e-36,0.0,0.0,0.0,0.0,8.995400020363888e-30,0.0,0.0,0.0,1.1566558955402902e-17,0.0,2.3580927686311826e-28,0.0,0.0,1.7708928583202788e-16,4.620054657963425e-18,8.658294605751595e-15,0.0,0.0,3.0172308976790825e-40,0.0,2.044853869394083e-14,2.4409544329208856e-35,1.1249559514399873e-32,0.0,0.0,4.363298952255045e-21,1.9190937168534214e-31,1.5373440565271046e-14,0.0,1.9850671546705915e-14,3.81231204878548e-16,0.0,0.0,0.0,0.0,0.0,3.2149446875361173e-15,1.3888982261983917e-16,9.397559423932501e-17,1.429628640455136e-13,0.0,7.554410646869123e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.09002564764653e-14,4.653658654244089e-15,0.0,0.0,0.0
0.049,0.15978175845321935,298.0000000697236,1.2117456220813445,0.666656770664942,0.0,0.08005723959054029,9.44848603063684e-19,0.0507685669336028,0.20251732619386886,3.883059929445024e-12,0.0,0.0,0.0,4.145557034562108e-28,8.277304007796471e-23,9.661128093144563e-08,0.0,0.0,5.142995713235162e-14,6.045828636870307e-14,9.70886850922467e-13,1.0377927469581314e-14,0.0,3.429880177691525e-35,3.1742900334960795e-20,4.464598694613787e-17,0.0,3.052724650700438e-46,3.2048796234324736e-15,3.793827992079193e-50,3.490204062110259e-37,0.0,1.0991960318568691e-27,1.0230383368493062e-13,6.240414375044359e-35,3.690436900360508e-14,0.0,0.0,0.0,0.0,0.0,1.2493797738166952e-16,0.0,3.0464647130972596e-13,1.9004782276301656e-15,2.515038220670707e-16,1.1013816784268859e-14,3.0115861212531544e-14,7.937635564930626e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.447679597342685e-14,0.0,0.0,1.9595538346684756e-31,1.2102157436135034e-46,3.1372361956858376e-20,1.532770737296235e-51,2.2777269093581602e-29,1.6993724469955806e-30,6.1776011281522505e-24,0.0,0.0,0.0,5.9631880001041624e-18,3.999923618326027e-28,0.0,0.0,2.471187243434078e-40,0.0,4.8227968238651053e-29,5.414166265721413e-31,0.0,1.0013989109522802e-35,0.0,0.0,4.690119840369455e-15,0.0,9.816552753797219e-26,6.6400476618699e-15,0.0,0.0,0.0,4.1388729345947595e-32,1.7226176901634124e-32,2.875568838801872e-38,3.79563004966593e-16,2.9488183625085098e-18,8.30566718399319e-23,1.474710388194487e-14,0.0,1.0877197577035925e-18,2.2043698213283867e-36,0.0,0.0,0.0,0.0,8.995408407381815e-30,0.0,0.0,0.0,1.0672115967635068e-17,0.0,2.349841739447975e-28,0.0,0.0,1.7708931286908725e-16,4.632142580292486e-18,8.658295818057145e-15,0.0,0.0,3.3801030821378643e-40,0.0,2.0448541169467004e-14,2.538850657205639e-35,1.1812073449976942e-32,0.0,0.0,4.363300630609137e-21,1.9190946460207139e-31,1.5373441925863815e-14,0.0,1.985067412160488e-14,3.812332194375793e-16,0.0,0.0,0.0,0.0,0.0,3.2149450502180222e-15,1.3888983836847374e-16,9.397563725312424e-17,1.42962881902006e-13,0.0,7.554411440490592e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.090026006293256e-14,4.653682547190747e-15,0.0,0.0,0.0
0.05,0.1597821441211646,298.0000005741144,1.2117426972776064,0.66665660593055,0.0,0.08005726723016388,7.672564444244565e-19,0.05076855256470719,0.2025172984251556,3.24357052681296e-11,7.88132818652994e-41,2.7585140308506853e-55,0.0,9.58214248097077e-28,8.463132283587204e-23,2.758058976653249e-07,0.0,0.0,4.180348958818021e-14,6.739762126404117e-14,7.820761037823257e-12,1.4290639596729944e-13,0.0,3.597803213529847e-35,2.5757244800810156e-20,9.796258201842936e-17,0.0,1.8328438049815303e-45,3.323524775689036e-14,3.920932422475652e-49,5.37782906482026e-37,0.0,2.5745623724882138e-27,1.02348411897085e-13,9.290757316775406e-34,4.81855778686732e-14,0.0,0.0,0.0,0.0,0.0,1.2504146256421e-16,0.0,2.4872758118017678e-12,4.640245861545612e-15,6.244261232279751e-16,1.1388820282732588e-14,3.050574295610113e-14,8.115842530778612e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4564504916868225e-14,0.0,0.0,1.7998778761645282e-31,0.0,2.5475727373717365e-20,1.3542398123834502e-50,2.2777231749283602e-29,1.699369663948268e-30,6.179085457076876e-24,0.0,0.0,0.0,5.963187566633422e-18,3.9999150648393204e-28,0.0,0.0,2.4711887877948108e-40,0.0,4.822810211897695e-29,5.535704764490811e-31,0.0,1.2885491590069523e-35,0.0,0.0,4.690121994466319e-15,0.0,7.988189069804472e-26,6.997852213666135e-15,0.0,0.0,0.0,4.2087086649894945e-32,1.770963920013201e-32,2.875605711058854e-38,3.795631666809314e-16,3.0095254917231188e-18,8.305673416267417e-23,1.4747048576122763e-14,0.0,9.514799597082774e-19,2.232902139425659e-36,0.0,0.0,0.0,0.0,8.995436130322423e-30,0.0,0.0,0.0,9.82924928348976e-18,0.0,2.354684074497826e-28,0.0,0.0,1.7708948255989981e-16,4.642239815374834e-18,8.658305158127863e-15,0.0,0.0,5.244589089558264e-40,0.0,2.0448549050179732e-14,2.584378812861671e-35,1.263008588285009e-32,0.0,0.0,4.363331632120467e-21,1.919103517163587e-31,1.5373446363446034e-14,0.0,1.9850682234451707e-14,3.812741927588363e-16,0.0,0.0,0.0,0.0,0.0,3.214946456342725e-15,1.3888988859114555e-16,9.397638678110679e-17,1.4296295045964604e-13,0.0,7.554413881698057e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.09002713774789e-14,4.654097757120024e-15,0.0,0.0,0.0
0.051000000000000004,0.15978336257102518,298.0000049502941,1.2117334569685656,0.6666560862189588,0.0,0.08005735444278972,1.1679701156210288e-18,0.05076850701518966,0.20251721069576922,2.838690183272721e-10,1.1280911195112245e-40,4.472810635235748e-54,0.0,4.505810808815282e-27,8.633281541650868e-23,8.412495557083361e-07,0.0,0.0,6.334205682696547e-14,7.476542019517311e-14,6.924998416647154e-11,1.6794466199482862e-12,0.0,4.389851684144083e-35,3.9257443275828136e-20,7.180698235748145e-16,8.482893940225586e-33,2.7296146903954963e-44,3.603771604142085e-13,4.251554457183711e-48,2.122210535664072e-36,0.0,1.5265194012849423e-26,1.0294307041106915e-13,3.343370663765592e-33,1.7557215687127579e-13,0.0,0.0,5.73655982659263e-29,0.0,0.0,1.264341729074524e-16,0.0,2.1759025562630672e-11,3.790689190589989e-14,5.53210839633882e-15,1.6554707874560303e-14,3.4791981660770164e-14,8.27903185289213e-28,0.0,0.0,4.410774195868984e-15,0.0,0.0,0.0,0.0,1.601901109487071e-14,0.0,0.0,3.7708925470458253e-31,1.495356492465948e-41,3.8773549910350524e-20,2.7400196133854803e-49,2.2777124219554533e-29,1.699361668634401e-30,6.188831375872979e-24,0.0,0.0,0.0,5.963188316692296e-18,3.9998895022637708e-28,0.0,0.0,2.4712016619836404e-40,0.0,4.8228552359907335e-29,5.6469625653077845e-31,0.0,2.642972277755824e-35,0.0,0.0,4.690130163205574e-15,0.0,1.2112954709321705e-25,9.201954645878242e-15,0.0,0.0,0.0,4.07074271759037e-32,1.892832539179709e-32,2.8757058500688736e-38,3.79563674445458e-16,3.070235455533092e-18,8.305686261826316e-23,1.4747004789714655e-14,0.0,8.524119428376018e-19,2.5466186946100032e-36,0.0,0.0,0.0,0.0,8.995545207527702e-30,0.0,0.0,0.0,9.055270138221085e-18,0.0,2.4719946387968426e-28,0.0,0.0,1.7709224325728648e-16,4.660029636622835e-18,8.65846001506515e-15,0.0,0.0,2.090635745460264e-39,0.0,2.044857414968834e-14,2.0991668200972787e-35,3.084726338938792e-32,0.0,0.0,4.3640663665232736e-21,1.9191965681345845e-31,1.5373461679963902e-14,0.0,1.9850707841925165e-14,3.8212205766222546e-16,0.0,0.0,0.0,0.0,0.0,3.2149569755244882e-15,1.3889005197347429e-16,9.399120358584937e-17,1.4296354679959606e-13,0.0,7.554421515599158e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.090030708239382e-14,4.661392642959164e-15,0.0,0.0,0.0
0.052000000000000005,0.15978722030792214,298.0000429188244,1.2117042021337274,0.666654447004807,0.0,0.08005762962853082,6.795242026625073e-18,0.05076836160312491,0.20251693291327652,2.498009261377033e-09,1.3926820813616703e-40,4.0928563169915127e-53,0.0,8.302884495808348e-26,8.790288903427336e-23,2.625513437284419e-06,0.0,0.0,3.666055227086983e-13,8.588904166224991e-14,6.201494556123399e-10,1.94943403009328e-11,0.0,1.0993926888176958e-34,2.288637957651832e-19,7.930394648880231e-15,8.865145558311816e-32,1.580566226051768e-42,3.924203265155491e-12,3.3226229452313685e-47,1.6461327086524457e-35,5.089259685706925e-15,1.312316551517216e-25,1.1087635023807227e-13,5.109757585613241e-32,1.6140276919773308e-12,2.5896993573494773e-14,1.5869612203635125e-30,6.481014942047218e-28,0.0,3.292925464084146e-32,1.4517928428886098e-16,0.0,1.9192284876407993e-10,4.418394930714616e-13,7.011819288664595e-14,8.771866926635554e-14,8.191388837408487e-14,8.429736491258081e-28,0.0,0.0,7.329102750673246e-14,0.0,1.802603992711973e-28,0.0,0.0,4.0143729541275835e-14,7.946794992540812e-16,3.1135434817243443e-19,4.113755009289337e-30,0.0,2.255416074174913e-19,7.416712933037786e-48,2.27768743578095e-29,1.6993432636745643e-30,6.403141988942531e-24,0.0,0.0,0.0,5.963209057460806e-18,3.999821226003203e-28,0.0,0.0,2.4713657616876833e-40,0.0,4.823023053183422e-29,5.749547057198687e-31,0.0,1.3936075803144313e-34,0.0,0.0,4.6901868175030915e-15,0.0,7.00407307403227e-25,3.360650221429868e-14,0.0,1.7860989749397398e-21,0.0,2.3918662741957244e-32,2.6301653632765256e-32,2.8762511279873547e-38,3.79565274929963e-16,3.1309806984261764e-18,8.305719858485082e-23,1.4746997565912772e-14,0.0,1.2543274520456981e-18,5.9956005648862026e-36,0.0,0.0,0.0,0.0,8.996327549111166e-30,0.0,0.0,0.0,8.693553542064452e-18,0.0,3.51389568384054e-28,0.0,0.0,1.7715720617443587e-16,4.763426923733423e-18,8.661785823023032e-15,0.0,0.0,1.6265498715261413e-38,0.0,2.0448657669662813e-14,0.0,8.547210197709554e-31,0.0,0.0,4.382168144956329e-21,1.920204793323784e-31,1.5373533361564046e-14,0.0,1.985078877493414e-14,3.9970879114906e-16,0.0,0.0,0.0,0.0,0.0,3.2151325364122687e-15,1.3889068275623038e-16,9.429179926246218e-17,1.4297105715965883e-13,0.0,7.554445542774045e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.0900419771775606e-14,4.789814034524702e-15,0.0,0.0,0.0
