cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
745,0.09697648825332619,BR(90) + HCO(17) <=> CO(15) + HBR(92),"{'CO(15)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'HCO(17)': 1.0}"
29,0.05201640522530188,CO(15) + OH(2) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CO(15)': 1.0, 'OH(2)': 1.0}"
356,-0.039904215498120996,H(8) + O2(4) <=> HO2(13),{'HO2(13)': 1.0},"{'H(8)': 1.0, 'O2(4)': 1.0}"
0,-0.03192545865691071,H(8) + O2(4) <=> O(9) + OH(2),"{'O(9)': 1.0, 'OH(2)': 1.0}","{'H(8)': 1.0, 'O2(4)': 1.0}"
36,-0.02993661773025014,HCO(17) + OH(2) <=> CO(15) + H2O(5),"{'CO(15)': 1.0, 'H2O(5)': 1.0}","{'HCO(17)': 1.0, 'OH(2)': 1.0}"
1017,-0.029786817449331877,CH2(T)(18) + O2(4) <=> CHO2(230) + H(8),"{'CHO2(230)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
33,-0.02662461688596127,H(8) + HCO(17) <=> CO(15) + H2(10),"{'CO(15)': 1.0, 'H2(10)': 1.0}","{'H(8)': 1.0, 'HCO(17)': 1.0}"
32,-0.022816983142978642,HCO(17) + M <=> CO(15) + H(8) + M,"{'CO(15)': 1.0, 'H(8)': 1.0}",{'HCO(17)': 1.0}
3,0.021932833581331225,H2(10) + OH(2) <=> H(8) + H2O(5),"{'H(8)': 1.0, 'H2O(5)': 1.0}","{'H2(10)': 1.0, 'OH(2)': 1.0}"
411,0.02184349989112234,BR(90) + HO2(13) <=> HBR(92) + O2(4),"{'HBR(92)': 1.0, 'O2(4)': 1.0}","{'BR(90)': 1.0, 'HO2(13)': 1.0}"
15,0.0216067418301059,H(8) + HO2(13) <=> 2 OH(2),{'OH(2)': 2.0},"{'H(8)': 1.0, 'HO2(13)': 1.0}"
96,0.020813792229725014,CH3(19) + HO2(13) <=> CH3O(27) + OH(2),"{'CH3O(27)': 1.0, 'OH(2)': 1.0}","{'CH3(19)': 1.0, 'HO2(13)': 1.0}"
103,-0.01998090913217679,2 CH3(19) <=> C2H5(32) + H(8),"{'C2H5(32)': 1.0, 'H(8)': 1.0}",{'CH3(19)': 2.0}
90,0.01986870737792349,CH3(19) + O(9) <=> CH2O(20) + H(8),"{'CH2O(20)': 1.0, 'H(8)': 1.0}","{'CH3(19)': 1.0, 'O(9)': 1.0}"
14,-0.019788784487444012,H(8) + HO2(13) <=> H2(10) + O2(4),"{'H2(10)': 1.0, 'O2(4)': 1.0}","{'H(8)': 1.0, 'HO2(13)': 1.0}"
93,0.019785749612039466,CH3(19) + OH(2) <=> CH2(S)(25) + H2O(5),"{'CH2(S)(25)': 1.0, 'H2O(5)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
162,-0.018017729835788213,C2H2(23) + O(9) <=> H(8) + HCCO(21),"{'H(8)': 1.0, 'HCCO(21)': 1.0}","{'C2H2(23)': 1.0, 'O(9)': 1.0}"
684,0.017258707157671395,H(8) + HBR(92) <=> BR(90) + H2(10),"{'BR(90)': 1.0, 'H2(10)': 1.0}","{'H(8)': 1.0, 'HBR(92)': 1.0}"
122,-0.016416875105003573,CH4(3) + H(8) <=> CH3(19) + H2(10),"{'CH3(19)': 1.0, 'H2(10)': 1.0}","{'CH4(3)': 1.0, 'H(8)': 1.0}"
