cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
393,-0.005113650300640255,HO2(13) + O(9) <=> O2(157) + OH(2),"{'O2(157)': 1.0, 'OH(2)': 1.0}","{'HO2(13)': 1.0, 'O(9)': 1.0}"
557,0.004942518712960017,BR(90) + CH3(19) <=> CBr(425),{'CBr(425)': 1.0},"{'BR(90)': 1.0, 'CH3(19)': 1.0}"
19,-0.004921456973656821,HO2(13) + OH(2) <=> H2O(5) + O2(4),"{'H2O(5)': 1.0, 'O2(4)': 1.0}","{'HO2(13)': 1.0, 'OH(2)': 1.0}"
662,-0.004856814195035773,BR(90) + CH3(19) <=> CH2(T)(18) + HBR(92),"{'CH2(T)(18)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'CH3(19)': 1.0}"
163,-0.0048070341757843575,C2H2(23) + O(9) <=> CH2(T)(18) + CO(15),"{'CH2(T)(18)': 1.0, 'CO(15)': 1.0}","{'C2H2(23)': 1.0, 'O(9)': 1.0}"
12,0.004627574259268203,H2O(5) + M <=> H(8) + OH(2) + M,"{'H(8)': 1.0, 'OH(2)': 1.0}",{'H2O(5)': 1.0}
630,0.004371535804876317,BR(90) + S(140) <=> 2-BTP(1) + HBR(92),"{'2-BTP(1)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'S(140)': 1.0}"
82,0.004201511618313295,CH2O(20) + OH(2) <=> H2O(5) + HCO(17),"{'H2O(5)': 1.0, 'HCO(17)': 1.0}","{'CH2O(20)': 1.0, 'OH(2)': 1.0}"
43,0.004105881050899183,CH(7) + H2(10) <=> CH2(T)(18) + H(8),"{'CH2(T)(18)': 1.0, 'H(8)': 1.0}","{'CH(7)': 1.0, 'H2(10)': 1.0}"
30,0.004080163703853504,CO(15) + OH(2) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CO(15)': 1.0, 'OH(2)': 1.0}"
373,-0.003960444540769376,C2H2(23) + H(8) <=> C2H3(29),{'C2H3(29)': 1.0},"{'C2H2(23)': 1.0, 'H(8)': 1.0}"
53,0.003849024529912046,CH2(T)(18) + OH(2) <=> CH2O(20) + H(8),"{'CH2O(20)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'OH(2)': 1.0}"
13,0.0036017427470576985,2 H2O(5) <=> H(8) + H2O(5) + OH(2),"{'H(8)': 1.0, 'H2O(5)': 1.0, 'OH(2)': 1.0}",{'H2O(5)': 2.0}
95,-0.0034715643227287286,CH3(19) + HO2(13) <=> CH4(3) + O2(4),"{'CH4(3)': 1.0, 'O2(4)': 1.0}","{'CH3(19)': 1.0, 'HO2(13)': 1.0}"
120,0.003387009352421427,CH2OH(33) + O2(4) <=> CH2O(20) + HO2(13),"{'CH2O(20)': 1.0, 'HO2(13)': 1.0}","{'CH2OH(33)': 1.0, 'O2(4)': 1.0}"
81,0.0030276255436889297,CH2O(20) + O(9) <=> HCO(17) + OH(2),"{'HCO(17)': 1.0, 'OH(2)': 1.0}","{'CH2O(20)': 1.0, 'O(9)': 1.0}"
234,-0.0029543608060699123,C2H6(31) + H(8) <=> C2H5(32) + H2(10),"{'C2H5(32)': 1.0, 'H2(10)': 1.0}","{'C2H6(31)': 1.0, 'H(8)': 1.0}"
244,-0.002866676640311386,CH3(19) + H(8) <=> CH4(3),{'CH4(3)': 1.0},"{'CH3(19)': 1.0, 'H(8)': 1.0}"
553,-0.002838005392283854,CBr(425) + S(127) <=> 2-BTP(1) + CH3(19),"{'2-BTP(1)': 1.0, 'CH3(19)': 1.0}","{'CBr(425)': 1.0, 'S(127)': 1.0}"
729,-0.0028156800977691522,BR(90) + CH2O(20) <=> HBR(92) + HCO(17),"{'HBR(92)': 1.0, 'HCO(17)': 1.0}","{'BR(90)': 1.0, 'CH2O(20)': 1.0}"
685,0.0027170555003613503,BR(90) + C2H3(29) <=> C2H2(23) + HBR(92),"{'C2H2(23)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'C2H3(29)': 1.0}"
795,0.002603380868317538,CH2Br(969) + H(8) <=> BR(90) + CH3(19),"{'BR(90)': 1.0, 'CH3(19)': 1.0}","{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
217,0.0025915028519316076,C2H4(30) + O(9) <=> CH3(19) + HCO(17),"{'CH3(19)': 1.0, 'HCO(17)': 1.0}","{'C2H4(30)': 1.0, 'O(9)': 1.0}"
882,-0.0025192927830989652,BR(90) + CH2CO(28) <=> CH2Br(969) + CO(15),"{'CH2Br(969)': 1.0, 'CO(15)': 1.0}","{'BR(90)': 1.0, 'CH2CO(28)': 1.0}"
66,-0.002470368402589955,CH2(S)(25) + N2 <=> CH2(T)(18) + N2,"{'CH2(T)(18)': 1.0, 'N2': 1.0}","{'CH2(S)(25)': 1.0, 'N2': 1.0}"
135,0.0024148134269261733,CH3OH(26) + OH(2) <=> CH3O(27) + H2O(5),"{'CH3O(27)': 1.0, 'H2O(5)': 1.0}","{'CH3OH(26)': 1.0, 'OH(2)': 1.0}"
124,-0.0024084796771313734,CH4(3) + OH(2) <=> CH3(19) + H2O(5),"{'CH3(19)': 1.0, 'H2O(5)': 1.0}","{'CH4(3)': 1.0, 'OH(2)': 1.0}"
916,0.0023968777095093804,H(8) + S(140) <=> HF(38) + S(1362),"{'HF(38)': 1.0, 'S(1362)': 1.0}","{'H(8)': 1.0, 'S(140)': 1.0}"
17,-0.0021660218879676588,HO2(13) + O(9) <=> O2(4) + OH(2),"{'O2(4)': 1.0, 'OH(2)': 1.0}","{'HO2(13)': 1.0, 'O(9)': 1.0}"
94,0.002115649793356422,CH3(19) + OH(2) <=> CH2O(20) + H2(10),"{'CH2O(20)': 1.0, 'H2(10)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
693,0.0020587313543579187,BR(90) + CH2OH(33) <=> CH2O(20) + HBR(92),"{'CH2O(20)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'CH2OH(33)': 1.0}"
130,-0.0019905680943832207,CH3OH(26) + H(8) <=> CH2OH(33) + H2(10),"{'CH2OH(33)': 1.0, 'H2(10)': 1.0}","{'CH3OH(26)': 1.0, 'H(8)': 1.0}"
1321,0.001981437273520633,C3H3(6822) + H(8) <=> C2H(22) + CH3(19),"{'C2H(22)': 1.0, 'CH3(19)': 1.0}","{'C3H3(6822)': 1.0, 'H(8)': 1.0}"
558,0.0019566546413465552,BR(90) + S(127) <=> CF3CCH(84) + HBR(92),"{'CF3CCH(84)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'S(127)': 1.0}"
