cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
745,0.08113241536745418,BR(90) + HCO(17) <=> CO(15) + HBR(92),"{'CO(15)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'HCO(17)': 1.0}"
356,-0.08046743169270304,H(8) + O2(4) <=> HO2(13),{'HO2(13)': 1.0},"{'H(8)': 1.0, 'O2(4)': 1.0}"
1346,-0.07239646180443221,C3H3(6822) + O2(4) <=> O(9) + S(7035),"{'O(9)': 1.0, 'S(7035)': 1.0}","{'C3H3(6822)': 1.0, 'O2(4)': 1.0}"
1284,0.0688004710333173,C3H3(6822) + H(8) <=> C#CC(5272),{'C#CC(5272)': 1.0},"{'C3H3(6822)': 1.0, 'H(8)': 1.0}"
29,0.0649604322301804,CO(15) + OH(2) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CO(15)': 1.0, 'OH(2)': 1.0}"
1029,-0.05306791786744719,CF2(43) + O2(4) <=> CF2O(49) + O(9),"{'CF2O(49)': 1.0, 'O(9)': 1.0}","{'CF2(43)': 1.0, 'O2(4)': 1.0}"
36,-0.04655877568736245,HCO(17) + OH(2) <=> CO(15) + H2O(5),"{'CO(15)': 1.0, 'H2O(5)': 1.0}","{'HCO(17)': 1.0, 'OH(2)': 1.0}"
103,-0.04512474054388858,2 CH3(19) <=> C2H5(32) + H(8),"{'C2H5(32)': 1.0, 'H(8)': 1.0}",{'CH3(19)': 2.0}
33,-0.04192243130339382,H(8) + HCO(17) <=> CO(15) + H2(10),"{'CO(15)': 1.0, 'H2(10)': 1.0}","{'H(8)': 1.0, 'HCO(17)': 1.0}"
93,0.0409419456734062,CH3(19) + OH(2) <=> CH2(S)(25) + H2O(5),"{'CH2(S)(25)': 1.0, 'H2O(5)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
557,0.039240710464688196,BR(90) + CH3(19) <=> CBr(425),{'CBr(425)': 1.0},"{'BR(90)': 1.0, 'CH3(19)': 1.0}"
553,-0.03857515856564615,CBr(425) + S(127) <=> 2-BTP(1) + CH3(19),"{'2-BTP(1)': 1.0, 'CH3(19)': 1.0}","{'CBr(425)': 1.0, 'S(127)': 1.0}"
662,-0.03420313953993003,BR(90) + CH3(19) <=> CH2(T)(18) + HBR(92),"{'CH2(T)(18)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'CH3(19)': 1.0}"
509,-0.03286370232119231,O2(4) + S(127) <=> O(9) + S(1329),"{'O(9)': 1.0, 'S(1329)': 1.0}","{'O2(4)': 1.0, 'S(127)': 1.0}"
3,0.03196504986368937,H2(10) + OH(2) <=> H(8) + H2O(5),"{'H(8)': 1.0, 'H2O(5)': 1.0}","{'H2(10)': 1.0, 'OH(2)': 1.0}"
1017,-0.028731275119508508,CH2(T)(18) + O2(4) <=> CHO2(230) + H(8),"{'CHO2(230)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
96,0.027450449955950553,CH3(19) + HO2(13) <=> CH3O(27) + OH(2),"{'CH3O(27)': 1.0, 'OH(2)': 1.0}","{'CH3(19)': 1.0, 'HO2(13)': 1.0}"
15,0.02738067314426277,H(8) + HO2(13) <=> 2 OH(2),{'OH(2)': 2.0},"{'H(8)': 1.0, 'HO2(13)': 1.0}"
90,-0.026756667278074964,CH3(19) + O(9) <=> CH2O(20) + H(8),"{'CH2O(20)': 1.0, 'H(8)': 1.0}","{'CH3(19)': 1.0, 'O(9)': 1.0}"
493,-0.02673248441245731,2-BTP(1) + H(8) <=> HBR(92) + S(127),"{'HBR(92)': 1.0, 'S(127)': 1.0}","{'2-BTP(1)': 1.0, 'H(8)': 1.0}"
14,-0.02661743461781379,H(8) + HO2(13) <=> H2(10) + O2(4),"{'H2(10)': 1.0, 'O2(4)': 1.0}","{'H(8)': 1.0, 'HO2(13)': 1.0}"
32,0.026410774233295214,HCO(17) + M <=> CO(15) + H(8) + M,"{'CO(15)': 1.0, 'H(8)': 1.0}",{'HCO(17)': 1.0}
162,-0.02580860037930705,C2H2(23) + O(9) <=> H(8) + HCCO(21),"{'H(8)': 1.0, 'HCCO(21)': 1.0}","{'C2H2(23)': 1.0, 'O(9)': 1.0}"
0,-0.02548380074993334,H(8) + O2(4) <=> O(9) + OH(2),"{'O(9)': 1.0, 'OH(2)': 1.0}","{'H(8)': 1.0, 'O2(4)': 1.0}"
630,0.025226497280294493,BR(90) + S(140) <=> 2-BTP(1) + HBR(92),"{'2-BTP(1)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'S(140)': 1.0}"
122,-0.025179180528154335,CH4(3) + H(8) <=> CH3(19) + H2(10),"{'CH3(19)': 1.0, 'H2(10)': 1.0}","{'CH4(3)': 1.0, 'H(8)': 1.0}"
2,0.023967082512475035,H2(10) + O(9) <=> H(8) + OH(2),"{'H(8)': 1.0, 'OH(2)': 1.0}","{'H2(10)': 1.0, 'O(9)': 1.0}"
1281,0.023135802820649216,C3H3(6822) + HBR(92) <=> BR(90) + C#CC(5272),"{'BR(90)': 1.0, 'C#CC(5272)': 1.0}","{'C3H3(6822)': 1.0, 'HBR(92)': 1.0}"
411,0.020518015899977676,BR(90) + HO2(13) <=> HBR(92) + O2(4),"{'HBR(92)': 1.0, 'O2(4)': 1.0}","{'BR(90)': 1.0, 'HO2(13)': 1.0}"
91,0.020267269719312656,CH3(19) + O(9) <=> CO(15) + H(8) + H2(10),"{'CO(15)': 1.0, 'H(8)': 1.0, 'H2(10)': 1.0}","{'CH3(19)': 1.0, 'O(9)': 1.0}"
