cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
0,0.27081261298320125,H + O2 <=> O + OH,"{'O': 1.0, 'OH': 1.0}","{'H': 1.0, 'O2': 1.0}"
1524,0.16708043100010808,BR + HCO <=> CO + HBR,"{'CO': 1.0, 'HBR': 1.0}","{'BR': 1.0, 'HCO': 1.0}"
30,0.14222623960985806,CO + OH <=> CO2 + H,"{'CO2': 1.0, 'H': 1.0}","{'CO': 1.0, 'OH': 1.0}"
11,-0.10286557544459485,H + O2 (+M) <=> HO2 (+M),{'HO2': 1.0},"{'H': 1.0, 'O2': 1.0}"
95,0.08795159606992134,CH3 + HO2 <=> CH3O + OH,"{'CH3O': 1.0, 'OH': 1.0}","{'CH3': 1.0, 'HO2': 1.0}"
34,-0.08276053093798974,H + HCO <=> CO + H2,"{'CO': 1.0, 'H2': 1.0}","{'H': 1.0, 'HCO': 1.0}"
40,-0.08043003300182688,HCO + O2 <=> CO + HO2,"{'CO': 1.0, 'HO2': 1.0}","{'HCO': 1.0, 'O2': 1.0}"
103,-0.07495976674109343,2 CH3 (+M) <=> C2H6 (+M),{'C2H6': 1.0},{'CH3': 2.0}
104,-0.06053126060003014,2 CH3 <=> C2H5 + H,"{'C2H5': 1.0, 'H': 1.0}",{'CH3': 2.0}
12,-0.058358527827751076,H2 + O2 <=> H + HO2,"{'H': 1.0, 'HO2': 1.0}","{'H2': 1.0, 'O2': 1.0}"
91,0.05674393258243557,CH3 + OH <=> CH2* + H2O,"{'CH2*': 1.0, 'H2O': 1.0}","{'CH3': 1.0, 'OH': 1.0}"
1457,0.043178907591028735,H + HBR <=> BR + H2,"{'BR': 1.0, 'H2': 1.0}","{'H': 1.0, 'HBR': 1.0}"
65,0.04149908465344276,CH2* + N2 <=> CH2 + N2,"{'CH2': 1.0, 'N2': 1.0}","{'CH2*': 1.0, 'N2': 1.0}"
15,0.040983740283467705,H + HO2 <=> 2 OH,{'OH': 2.0},"{'H': 1.0, 'HO2': 1.0}"
