k_s,sensitivity,cantera equation,cantera products,cantera reactants
2,0.011681681136872409,H2(10) + O(9) <=> H(8) + OH(2),"{'H(8)': 1.0, 'OH(2)': 1.0}","{'H2(10)': 1.0, 'O(9)': 1.0}"
633,-0.010782532559965158,2-BTP(1) + H(8) <=> S(140),{'S(140)': 1.0},"{'2-BTP(1)': 1.0, 'H(8)': 1.0}"
373,0.010181249951168526,C2H2(23) + H(8) <=> C2H3(29),{'C2H3(29)': 1.0},"{'C2H2(23)': 1.0, 'H(8)': 1.0}"
94,-0.009740425428285496,CH3(19) + OH(2) <=> CH2O(20) + H2(10),"{'CH2O(20)': 1.0, 'H2(10)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
509,0.009623197994869446,O2(4) + S(127) <=> O(9) + S(1329),"{'O(9)': 1.0, 'S(1329)': 1.0}","{'O2(4)': 1.0, 'S(127)': 1.0}"
124,-0.009522934396167112,CH4(3) + OH(2) <=> CH3(19) + H2O(5),"{'CH3(19)': 1.0, 'H2O(5)': 1.0}","{'CH4(3)': 1.0, 'OH(2)': 1.0}"
15,0.009174843526378307,H(8) + HO2(13) <=> 2 OH(2),{'OH(2)': 2.0},"{'H(8)': 1.0, 'HO2(13)': 1.0}"
163,0.008883551803146225,C2H2(23) + O(9) <=> CH2(T)(18) + CO(15),"{'CH2(T)(18)': 1.0, 'CO(15)': 1.0}","{'C2H2(23)': 1.0, 'O(9)': 1.0}"
557,-0.008496492414014721,BR(90) + CH3(19) <=> CBr(425),{'CBr(425)': 1.0},"{'BR(90)': 1.0, 'CH3(19)': 1.0}"
662,0.008449022210000875,BR(90) + CH3(19) <=> CH2(T)(18) + HBR(92),"{'CH2(T)(18)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'CH3(19)': 1.0}"
630,-0.008268753670528393,BR(90) + S(140) <=> 2-BTP(1) + HBR(92),"{'2-BTP(1)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'S(140)': 1.0}"
14,-0.008103550534309868,H(8) + HO2(13) <=> H2(10) + O2(4),"{'H2(10)': 1.0, 'O2(4)': 1.0}","{'H(8)': 1.0, 'HO2(13)': 1.0}"
11,-0.008076417200023396,H(8) + O(9) + M <=> OH(2) + M,{'OH(2)': 1.0},"{'H(8)': 1.0, 'O(9)': 1.0}"
3,0.008015051917283168,H2(10) + OH(2) <=> H(8) + H2O(5),"{'H(8)': 1.0, 'H2O(5)': 1.0}","{'H2(10)': 1.0, 'OH(2)': 1.0}"
56,0.008006832116053237,CH2(T)(18) + H2(10) <=> CH3(19) + H(8),"{'CH3(19)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'H2(10)': 1.0}"
4,0.007695702119025774,2 OH(2) <=> H2O(5) + O(9),"{'H2O(5)': 1.0, 'O(9)': 1.0}",{'OH(2)': 2.0}
103,0.007651299930784447,2 CH3(19) <=> C2H5(32) + H(8),"{'C2H5(32)': 1.0, 'H(8)': 1.0}",{'CH3(19)': 2.0}
915,0.007508897542919107,CH2Br(969) + S(140) <=> FCBr(2948) + S(1362),"{'FCBr(2948)': 1.0, 'S(1362)': 1.0}","{'CH2Br(969)': 1.0, 'S(140)': 1.0}"
553,0.006716607969945313,CBr(425) + S(127) <=> 2-BTP(1) + CH3(19),"{'2-BTP(1)': 1.0, 'CH3(19)': 1.0}","{'CBr(425)': 1.0, 'S(127)': 1.0}"
74,0.006642407518411625,CH2(S)(25) + H2O(5) <=> CH2(T)(18) + H2O(5),"{'CH2(T)(18)': 1.0, 'H2O(5)': 1.0}","{'CH2(S)(25)': 1.0, 'H2O(5)': 1.0}"
79,-0.006065108953691817,CH2(S)(25) + CO2(16) <=> CH2O(20) + CO(15),"{'CH2O(20)': 1.0, 'CO(15)': 1.0}","{'CH2(S)(25)': 1.0, 'CO2(16)': 1.0}"
217,-0.00595394593982718,C2H4(30) + O(9) <=> CH3(19) + HCO(17),"{'CH3(19)': 1.0, 'HCO(17)': 1.0}","{'C2H4(30)': 1.0, 'O(9)': 1.0}"
101,-0.005342922670661973,CH2(T)(18) + CH3(19) <=> C2H4(30) + H(8),"{'C2H4(30)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'CH3(19)': 1.0}"
685,-0.005026362458871324,BR(90) + C2H3(29) <=> C2H2(23) + HBR(92),"{'C2H2(23)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'C2H3(29)': 1.0}"
1284,-0.004891204107752718,C3H3(6822) + H(8) <=> C#CC(5272),{'C#CC(5272)': 1.0},"{'C3H3(6822)': 1.0, 'H(8)': 1.0}"
40,-0.004888972214450121,CH(7) + H(8) <=> C(6) + H2(10),"{'C(6)': 1.0, 'H2(10)': 1.0}","{'CH(7)': 1.0, 'H(8)': 1.0}"
784,0.004710803094328596,CH2(T)(18) + OH(2) <=> CH3(19) + O(9),"{'CH3(19)': 1.0, 'O(9)': 1.0}","{'CH2(T)(18)': 1.0, 'OH(2)': 1.0}"
1281,-0.004677534470793521,C3H3(6822) + HBR(92) <=> BR(90) + C#CC(5272),"{'BR(90)': 1.0, 'C#CC(5272)': 1.0}","{'C3H3(6822)': 1.0, 'HBR(92)': 1.0}"
45,-0.004605263379340982,CH(7) + H2O(5) <=> CH2O(20) + H(8),"{'CH2O(20)': 1.0, 'H(8)': 1.0}","{'CH(7)': 1.0, 'H2O(5)': 1.0}"
1346,0.004412587539880928,C3H3(6822) + O2(4) <=> O(9) + S(7035),"{'O(9)': 1.0, 'S(7035)': 1.0}","{'C3H3(6822)': 1.0, 'O2(4)': 1.0}"
558,-0.004174239743659389,BR(90) + S(127) <=> CF3CCH(84) + HBR(92),"{'CF3CCH(84)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'S(127)': 1.0}"
795,-0.004140698597840711,CH2Br(969) + H(8) <=> BR(90) + CH3(19),"{'BR(90)': 1.0, 'CH3(19)': 1.0}","{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
5,-0.00399899261687,H2(10) + M <=> 2 H(8) + M,{'H(8)': 2.0},{'H2(10)': 1.0}
19,-0.00390325744331958,HO2(13) + OH(2) <=> H2O(5) + O2(4),"{'H2O(5)': 1.0, 'O2(4)': 1.0}","{'HO2(13)': 1.0, 'OH(2)': 1.0}"
1321,-0.003884749134278093,C3H3(6822) + H(8) <=> C2H(22) + CH3(19),"{'C2H(22)': 1.0, 'CH3(19)': 1.0}","{'C3H3(6822)': 1.0, 'H(8)': 1.0}"
182,-0.0038558953141179524,C2H3(29) + H(8) <=> H2(10) + H2CC(24),"{'H2(10)': 1.0, 'H2CC(24)': 1.0}","{'C2H3(29)': 1.0, 'H(8)': 1.0}"
1389,0.003833384332172681,C2H2(23) + CH3(19) <=> C#CC(5272) + H(8),"{'C#CC(5272)': 1.0, 'H(8)': 1.0}","{'C2H2(23)': 1.0, 'CH3(19)': 1.0}"
