cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
0,-0.14787189685592733,H(9) + O2(4) <=> O(10) + OH(2),"{'O(10)': 1.0, 'OH(2)': 1.0}","{'H(9)': 1.0, 'O2(4)': 1.0}"
759,0.12972419972915802,BR(91) + HCO(18) <=> CO(16) + HBR(93),"{'CO(16)': 1.0, 'HBR(93)': 1.0}","{'BR(91)': 1.0, 'HCO(18)': 1.0}"
996,-0.06082419946557358,CH2(T)(19) + O2(4) <=> CHO2(230) + H(9),"{'CHO2(230)': 1.0, 'H(9)': 1.0}","{'CH2(T)(19)': 1.0, 'O2(4)': 1.0}"
356,-0.060439824843131096,H(9) + O2(4) <=> HO2(14),{'HO2(14)': 1.0},"{'H(9)': 1.0, 'O2(4)': 1.0}"
1284,0.057745261381369366,C3H3(6704) + HBR(93) <=> BR(91) + C#CC(8822),"{'BR(91)': 1.0, 'C#CC(8822)': 1.0}","{'C3H3(6704)': 1.0, 'HBR(93)': 1.0}"
29,0.056114284360725075,CO(16) + OH(2) <=> CO2(17) + H(9),"{'CO2(17)': 1.0, 'H(9)': 1.0}","{'CO(16)': 1.0, 'OH(2)': 1.0}"
103,-0.05558808285331295,2 CH3(20) <=> C2H5(33) + H(9),"{'C2H5(33)': 1.0, 'H(9)': 1.0}",{'CH3(20)': 2.0}
1286,0.051214807837445,C3H3(6704) + H(9) <=> C#CC(8822),{'C#CC(8822)': 1.0},"{'C3H3(6704)': 1.0, 'H(9)': 1.0}"
116,-0.04587760136639846,CH2OH(34) + H(9) <=> CH3(20) + OH(2),"{'CH3(20)': 1.0, 'OH(2)': 1.0}","{'CH2OH(34)': 1.0, 'H(9)': 1.0}"
560,0.04338261123350889,BR(91) + CH3(20) <=> CBr(425),{'CBr(425)': 1.0},"{'BR(91)': 1.0, 'CH3(20)': 1.0}"
36,-0.042015518262949796,HCO(18) + OH(2) <=> CO(16) + H2O(5),"{'CO(16)': 1.0, 'H2O(5)': 1.0}","{'HCO(18)': 1.0, 'OH(2)': 1.0}"
162,-0.0399280355612858,C2H2(24) + O(10) <=> H(9) + HCCO(22),"{'H(9)': 1.0, 'HCCO(22)': 1.0}","{'C2H2(24)': 1.0, 'O(10)': 1.0}"
946,-0.038450108263317545,CF2(44) + O2(4) <=> CF2O(50) + O(10),"{'CF2O(50)': 1.0, 'O(10)': 1.0}","{'CF2(44)': 1.0, 'O2(4)': 1.0}"
33,-0.037260868201897814,H(9) + HCO(18) <=> CO(16) + H2(11),"{'CO(16)': 1.0, 'H2(11)': 1.0}","{'H(9)': 1.0, 'HCO(18)': 1.0}"
32,-0.03607110996418396,HCO(18) + M <=> CO(16) + H(9) + M,"{'CO(16)': 1.0, 'H(9)': 1.0}",{'HCO(18)': 1.0}
244,0.03469901601091706,CH3(20) + H(9) <=> CH4(3),{'CH4(3)': 1.0},"{'CH3(20)': 1.0, 'H(9)': 1.0}"
657,-0.03464884270342843,BR(91) + CH3(20) <=> CH2(T)(19) + HBR(93),"{'CH2(T)(19)': 1.0, 'HBR(93)': 1.0}","{'BR(91)': 1.0, 'CH3(20)': 1.0}"
411,0.03316614642985222,BROH(8) (+M) <=> BR(91) + OH(2) (+M),"{'BR(91)': 1.0, 'OH(2)': 1.0}",{'BROH(8)': 1.0}
3,0.0314817390807074,H2(11) + OH(2) <=> H(9) + H2O(5),"{'H(9)': 1.0, 'H2O(5)': 1.0}","{'H2(11)': 1.0, 'OH(2)': 1.0}"
412,0.031009648077406297,BR(91) + HO2(14) <=> HBR(93) + O2(4),"{'HBR(93)': 1.0, 'O2(4)': 1.0}","{'BR(91)': 1.0, 'HO2(14)': 1.0}"
1322,-0.029965698140940855,C2H2(24) + CH3(20) <=> C#CC(8822) + H(9),"{'C#CC(8822)': 1.0, 'H(9)': 1.0}","{'C2H2(24)': 1.0, 'CH3(20)': 1.0}"
93,0.02824694060237678,CH3(20) + OH(2) <=> CH2(S)(26) + H2O(5),"{'CH2(S)(26)': 1.0, 'H2O(5)': 1.0}","{'CH3(20)': 1.0, 'OH(2)': 1.0}"
15,0.02662236526462431,H(9) + HO2(14) <=> 2 OH(2),{'OH(2)': 2.0},"{'H(9)': 1.0, 'HO2(14)': 1.0}"
14,-0.024726192940257147,H(9) + HO2(14) <=> H2(11) + O2(4),"{'H2(11)': 1.0, 'O2(4)': 1.0}","{'H(9)': 1.0, 'HO2(14)': 1.0}"
512,-0.023677689600135828,O2(4) + S(127) <=> O(10) + S(1329),"{'O(10)': 1.0, 'S(1329)': 1.0}","{'O2(4)': 1.0, 'S(127)': 1.0}"
2,0.023251108169334903,H2(11) + O(10) <=> H(9) + OH(2),"{'H(9)': 1.0, 'OH(2)': 1.0}","{'H2(11)': 1.0, 'O(10)': 1.0}"
1076,-0.022442357147440486,CF3CCH(85) + H(9) <=> C2H2(24) + CF3(46),"{'C2H2(24)': 1.0, 'CF3(46)': 1.0}","{'CF3CCH(85)': 1.0, 'H(9)': 1.0}"
96,0.021292749017365893,CH3(20) + HO2(14) <=> CH3O(28) + OH(2),"{'CH3O(28)': 1.0, 'OH(2)': 1.0}","{'CH3(20)': 1.0, 'HO2(14)': 1.0}"
122,-0.021155984710765935,CH4(3) + H(9) <=> CH3(20) + H2(11),"{'CH3(20)': 1.0, 'H2(11)': 1.0}","{'CH4(3)': 1.0, 'H(9)': 1.0}"
123,0.020974808641894226,CH4(3) + O(10) <=> CH3(20) + OH(2),"{'CH3(20)': 1.0, 'OH(2)': 1.0}","{'CH4(3)': 1.0, 'O(10)': 1.0}"
1349,0.020421982381234986,BR(91) + C2H3F2(66) <=> CH2CF2(58) + HBR(93),"{'CH2CF2(58)': 1.0, 'HBR(93)': 1.0}","{'BR(91)': 1.0, 'C2H3F2(66)': 1.0}"
556,-0.019066965901053487,CBr(425) + S(127) <=> 2-BTP(1) + CH3(20),"{'2-BTP(1)': 1.0, 'CH3(20)': 1.0}","{'CBr(425)': 1.0, 'S(127)': 1.0}"
