cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
43,0.0035001442172986133,CH(7) + H2(11) <=> CH2(T)(19) + H(9),"{'CH2(T)(19)': 1.0, 'H(9)': 1.0}","{'CH(7)': 1.0, 'H2(11)': 1.0}"
846,-0.0031980916857954223,CF2(44) + HO2(14) <=> CF2O(50) + OH(2),"{'CF2O(50)': 1.0, 'OH(2)': 1.0}","{'CF2(44)': 1.0, 'HO2(14)': 1.0}"
393,-0.0031035516439616986,HO2(14) + O(10) <=> O2(157) + OH(2),"{'O2(157)': 1.0, 'OH(2)': 1.0}","{'HO2(14)': 1.0, 'O(10)': 1.0}"
82,0.0030187205206205934,CH2O(21) + OH(2) <=> H2O(5) + HCO(18),"{'H2O(5)': 1.0, 'HCO(18)': 1.0}","{'CH2O(21)': 1.0, 'OH(2)': 1.0}"
53,0.0030017929944353133,CH2(T)(19) + OH(2) <=> CH2O(21) + H(9),"{'CH2O(21)': 1.0, 'H(9)': 1.0}","{'CH2(T)(19)': 1.0, 'OH(2)': 1.0}"
410,0.0028924431482127834,BR(91) + H(9) + M <=> HBR(93) + M,{'HBR(93)': 1.0},"{'BR(91)': 1.0, 'H(9)': 1.0}"
163,-0.002886785822182702,C2H2(24) + O(10) <=> CH2(T)(19) + CO(16),"{'CH2(T)(19)': 1.0, 'CO(16)': 1.0}","{'C2H2(24)': 1.0, 'O(10)': 1.0}"
66,-0.002858693988428005,CH2(S)(26) + N2 <=> CH2(T)(19) + N2,"{'CH2(T)(19)': 1.0, 'N2': 1.0}","{'CH2(S)(26)': 1.0, 'N2': 1.0}"
234,-0.0028277964512110174,C2H6(32) + H(9) <=> C2H5(33) + H2(11),"{'C2H5(33)': 1.0, 'H2(11)': 1.0}","{'C2H6(32)': 1.0, 'H(9)': 1.0}"
93,0.0028098390828147357,CH3(20) + OH(2) <=> CH2(S)(26) + H2O(5),"{'CH2(S)(26)': 1.0, 'H2O(5)': 1.0}","{'CH3(20)': 1.0, 'OH(2)': 1.0}"
