grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074)
0.0,0.06219629394921892,298.0,1.1915340058028052,0.680272032158858,0.0,0.06126917862428822,0.0,0.0518054242809349,0.20665336486199892,1.346559934668452e-15,0.0,1.5815967735133775e-14,0.0,8.048458927543272e-15,5.589380215620331e-15,7.293054456435412e-11,3.8215848855431364e-77,3.334386341129699e-17,5.4675991225137574e-15,0.0,0.0,0.0,5.730596793423529e-23,0.0,0.0,1.9746189794102143e-16,0.0,0.0,0.0,7.40243894647149e-15,0.0,0.0,6.361684404218692e-28,0.0,9.313658848053979e-15,2.1840589779285153e-16,5.5795521976741034e-14,0.0,3.0197301156992662e-30,0.0,1.227957946678858e-23,0.0,0.0,0.0,0.0,0.0,0.0,6.933254711051784e-14,5.939618547557505e-19,0.0,1.4547182714215313e-15,0.0,1.147591538073596e-13,0.0,2.437416519622263e-14,3.8973065950907815e-19,0.0,0.0,0.0,0.0,2.181155799645198e-21,2.277511303085909e-13,6.089786213215122e-32,4.4901254965802015e-33,0.0,3.7826846412823437e-22,1.4878771300601926e-16,1.1212938513110045e-22,0.0,4.6525071015901684e-29,0.0,0.0,7.5330642426248e-29,4.944512718470311e-16,1.250651387524658e-18,0.0,0.0,0.0,1.0782687068091287e-25,0.0,2.0637876770229745e-17,1.9666509502725445e-14,4.419575061586283e-17,9.278985853872453e-16,0.0,0.0,3.602754218141441e-49,9.34276793221515e-33,0.0,4.958054411936777e-37,6.0269543095252405e-21,3.464460657571023e-20,0.0,4.098164002973613e-14,6.090073910187998e-19,0.0,0.0,0.0,0.0,0.0,4.778767435567141e-16,0.0,0.0,0.0,1.8817651447528577e-17,0.0,2.568856001368316e-13,3.621591218208577e-21,8.19449850742272e-14,2.7279661415632716e-19,0.0,0.0,0.0,0.0,1.5526204779296408e-15,3.506573177608799e-14,1.4054148680209879e-36,5.798542252653162e-34,0.0,0.0,6.20020219962372e-21,0.0,0.0,0.0,2.4054398341776224e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9768368106471463e-16,0.0,0.0,0.0,3.678693565337474e-15,9.231133305831723e-28,1.3191363220033308e-34
0.016,0.06219629475261331,297.9999999922168,1.1915339904145879,0.6802720313095565,0.0,0.061269178737020716,1.2240823093397965e-17,0.051805424200257515,0.2066533647037409,6.763162092701203e-14,0.0,2.4913171514844656e-22,0.0,9.293517580067634e-22,0.0,1.0482393335144743e-09,5.1500706863219505e-76,3.3343860428492214e-17,2.768114353466851e-13,0.0,0.0,0.0,3.832324659896687e-21,0.0,1.7824723133258848e-19,8.783526877065932e-15,0.0,0.0,0.0,4.287373718791565e-22,0.0,0.0,3.736227864343002e-26,0.0,4.170757592743221e-22,1.0467779599104467e-14,5.5795500780304915e-14,0.0,1.9303055991451053e-28,0.0,5.408118065700088e-22,0.0,0.0,0.0,0.0,0.0,0.0,6.933144298656401e-14,0.0,0.0,1.5030951870349002e-13,0.0,7.794121332816338e-17,7.38733349156413e-15,5.437566925137148e-15,8.427470311968999e-19,0.0,0.0,0.0,0.0,3.037091557588174e-19,1.0092922942516821e-21,1.3118359214682703e-29,9.787379790353388e-31,1.052877672752629e-21,6.495364672613766e-20,2.5208965946093247e-14,1.483473221865931e-20,6.084444572543829e-18,8.096132911240884e-27,0.0,0.0,1.0472890174443212e-26,4.944852380575601e-16,1.5934837095422872e-25,0.0,0.0,0.0,1.3055925726908609e-23,0.0,3.8176646230777145e-15,1.9666509599124614e-14,1.0771213611983768e-23,6.3023868962225e-14,0.0,0.0,6.186602037931219e-47,1.0585669871321032e-30,0.0,9.495607640659708e-35,1.4059963332541243e-18,7.169763828965258e-18,0.0,4.097450488013902e-14,5.316556022002735e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8820017393443538e-17,0.0,2.5688340875195595e-13,6.928854227658675e-19,8.192621369529162e-14,5.4275599672905335e-17,0.0,0.0,1.5893664395708592e-19,0.0,1.5526204806749114e-15,3.5065731885365864e-14,7.3887426694173e-35,3.641094950132806e-32,0.0,0.0,6.1111373258703495e-21,0.0,0.0,0.0,2.4054398333859886e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.976836640355253e-16,0.0,0.0,0.0,3.678697849596503e-15,0.0,1.1811359147124218e-32
0.032,0.06219630632506053,298.0000000046121,1.1915337687192387,0.6802720191203212,0.0,0.06126918033198758,5.283769841322201e-18,0.05180542304208829,0.20665336243744772,8.150656687011181e-13,0.0,3.9684447569535164e-30,0.0,4.619910546629002e-28,0.0,1.5066009416325895e-08,8.703667287296653e-76,3.3343819515367123e-17,3.740533868301058e-13,0.0,0.0,0.0,0.0,0.0,1.7804513212893895e-19,8.783577952690935e-15,0.0,0.0,0.0,2.382495903110994e-29,0.0,0.0,0.0,0.0,8.709423637765289e-30,1.0598996265098706e-14,5.5794749215908666e-14,0.0,0.0,0.0,2.5181631025224825e-28,0.0,0.0,4.043244075630391e-14,0.0,0.0,0.0,6.932815660248937e-14,0.0,0.0,1.5041353705839424e-13,0.0,5.330540620267999e-20,1.377966321254531e-14,7.647359788794909e-15,1.4868907152207777e-18,0.0,0.0,5.294674927194328e-31,0.0,1.3201463415636978e-19,4.493186745483182e-30,1.3118357483512305e-29,9.787378443131768e-31,5.012111956522379e-24,9.135038753648629e-20,3.5454031190707834e-14,2.086347023130728e-20,6.0849748709361516e-18,3.0724900594675476e-28,0.0,0.0,4.658811464723956e-34,4.945192199336494e-16,3.754752743348587e-30,0.0,0.0,0.0,1.3057566117528253e-23,0.0,3.8176709756095435e-15,1.9666524939461366e-14,4.223884416195609e-25,1.198288897680719e-13,0.0,0.0,1.1539974972193469e-46,0.0,0.0,2.103729456597845e-39,1.4060294039398538e-18,1.430377119683841e-17,0.0,4.096737222422005e-14,8.791921690520255e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8821684644179742e-17,0.0,2.568834145883966e-13,6.928854967725245e-19,8.192621604805554e-14,5.63726619664607e-17,0.0,0.0,2.386471207925026e-18,0.0,1.5526205878837152e-15,3.5065733446558445e-14,9.936930763497517e-34,4.729810240022659e-31,0.0,0.0,6.111137556810826e-21,0.0,0.0,0.0,2.405440448390017e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9768369538163174e-16,0.0,0.0,0.0,3.679106894575728e-15,0.0,1.1956236425851442e-37
0.036000000000000004,0.06219633341195808,298.00000009905744,1.191533249810263,0.6802719906062977,0.0,0.06126918406380525,5.655508051545553e-18,0.05180542032728568,0.20665335713361857,6.468215400769585e-12,0.0,2.7166778686099624e-37,0.0,1.1345912887592364e-27,0.0,4.7860169226934034e-08,9.413920152125002e-76,3.334372906027102e-17,4.010298453864076e-13,0.0,6.318435206804936e-13,0.0,0.0,0.0,1.9057151839056056e-19,8.783849943636216e-15,0.0,0.0,0.0,5.2946736831320164e-36,0.0,0.0,0.0,0.0,1.5516833563065007e-32,1.1938117053441616e-14,5.5807187688962204e-14,0.0,0.0,0.0,0.0,0.0,0.0,3.845408234883023e-13,0.0,0.0,0.0,6.932718029236346e-14,0.0,0.0,1.5041689702503534e-13,0.0,1.4986597232512057e-22,1.549296550136116e-14,8.240283132606558e-15,1.0539117728530021e-17,0.0,0.0,8.480550910509382e-31,1.882417672489984e-41,1.4129989574664873e-19,8.137262258334827e-38,1.311835357408248e-29,9.787375529766422e-31,5.013174944638275e-24,9.843303188346765e-20,3.820287933720712e-14,2.2481070220096416e-20,6.0849747881711326e-18,3.0716248838310997e-28,0.0,0.0,2.629666021967886e-40,4.945277503622982e-16,3.73442325023366e-30,0.0,0.0,3.178265638614657e-32,1.3057566935194602e-23,0.0,3.8176739021739875e-15,1.9666778592302102e-14,4.512310318868578e-25,1.3507516739620276e-13,0.0,0.0,1.2974805729847122e-46,0.0,0.0,2.0750263404985608e-39,1.4060376928706339e-18,1.6087194396644143e-17,0.0,4.0965591929334654e-14,5.556149393409231e-33,0.0,0.0,4.891883693357986e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.8822103210480595e-17,0.0,2.5688342764927423e-13,6.928855711650074e-19,8.192622146657369e-14,5.693421281126829e-17,0.0,0.0,3.089756190326686e-18,0.0,1.5526220753451606e-15,3.506573690548363e-14,1.2615933629357596e-33,6.016778230422258e-31,0.0,0.0,6.111140734890643e-21,0.0,0.0,0.0,2.405453147455781e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9768416029452736e-16,0.0,0.0,0.0,3.6848891259436985e-15,0.0,0.0
0.04,0.0621964512198792,298.0000013076422,1.1915309929410502,0.680271866792637,0.0,0.06126920027154612,6.074001183425408e-18,0.05180540847609027,0.20665333407120742,8.029203158758672e-11,0.0,1.8341208980261455e-44,0.0,4.891568265646035e-27,0.0,1.9029005529155536e-07,1.0017682589061866e-75,3.3343357460829354e-17,4.307126702415112e-13,0.0,1.1440058520933046e-11,3.678301063137467e-13,0.0,0.0,2.0467355865583568e-19,8.78849430381219e-15,0.0,1.066662977681143e-44,5.16018543002788e-14,1.1512884149482916e-42,0.0,0.0,0.0,0.0,1.8941412172302304e-32,3.46040729532665e-14,5.604376114994131e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.898273478676221e-12,0.0,0.0,0.0,6.932605775416296e-14,0.0,0.0,1.5048291077152997e-13,4.879448389265369e-16,4.210988076600627e-25,1.7336940129225306e-14,8.877536611889804e-15,2.3718979335721566e-16,0.0,0.0,1.0037683462448518e-30,0.0,1.5175547771992021e-19,1.4740682766518808e-45,1.311833829737103e-29,9.787364175488839e-31,5.020895578275977e-24,1.0604508935868708e-19,4.1157196654641345e-14,2.4219576391292455e-20,6.084975048454966e-18,3.0716199861712826e-28,0.0,0.0,1.8606478487850714e-40,4.94536411073912e-16,3.7344266101511745e-30,0.0,0.0,3.179352511102609e-32,1.3057571694084287e-23,0.0,3.817685308257107e-15,1.967379920391038e-14,4.83697123325012e-25,1.5166784961443904e-13,6.961207228358604e-29,0.0,1.4519067959080745e-46,0.0,0.0,2.0585626286086226e-39,1.4060462438977501e-18,1.7870541393584646e-17,0.0,4.096382197615902e-14,5.5410284596510914e-33,0.0,0.0,6.721872506122084e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.8822554153327432e-17,0.0,2.568834830471421e-13,6.928858845543397e-19,8.192624541408519e-14,5.753740119784725e-17,0.0,0.0,4.165503224507553e-18,0.0,1.5526675450707357e-15,3.506575146106783e-14,1.56758123900758e-33,7.490914154457173e-31,0.0,0.0,6.111251083435775e-21,0.0,0.0,0.0,2.405855477927438e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9769806545287217e-16,0.0,0.0,0.0,3.818860555284198e-15,0.0,0.0
0.044,0.062196965001765483,298.0000167731402,1.1915211503993304,0.680271329355319,0.0,0.0612692706642957,6.5887646536217176e-18,0.05180535628333749,0.2066532335359766,1.0452379492647274e-09,1.9530660430147467e-41,1.2809593973327973e-51,0.0,2.2802796867319812e-26,0.0,8.088856153763866e-07,1.0546157735495534e-75,3.334184089073679e-17,4.67248532806288e-13,0.0,1.5558966447692684e-10,7.662958787448744e-12,0.0,0.0,2.2201917214399286e-19,8.869375656206082e-15,0.0,2.7026000580035563e-43,9.238897258866888e-13,1.1116610541959875e-47,0.0,0.0,0.0,0.0,3.041566650764634e-32,4.182486140558535e-13,6.038103722766473e-14,0.0,0.0,0.0,0.0,0.0,0.0,6.410580839675422e-11,3.7624666929839696e-14,7.420678607114502e-15,0.0,6.932497142749118e-14,0.0,0.0,1.5217070576530316e-13,1.3980222114668328e-14,1.2038285708992217e-27,1.94246819868013e-14,9.575756407027705e-15,5.919269767931513e-15,3.0810836458103996e-17,0.0,1.5316504277109215e-30,4.371042820777896e-43,1.6461537777940828e-19,0.0,1.31182937338309e-29,9.787331482911408e-31,5.0575885374958665e-24,1.1438479334320507e-19,4.439390034822096e-14,2.6124242835179326e-20,6.084984108617859e-18,3.071602906740672e-28,0.0,0.0,1.8588142705794675e-40,4.945456353909356e-16,3.734453783173953e-30,0.0,0.0,3.1776952503549664e-32,1.3057608264396959e-23,0.0,3.8177355935103936e-15,1.9868687705075314e-14,5.236093097969231e-25,1.7368646803348935e-13,2.1718692646012338e-27,0.0,1.6267462380414959e-46,0.0,0.0,2.042238767530009e-39,1.4060559866749365e-18,1.965382848692555e-17,0.0,4.096209608592936e-14,5.52636525081682e-33,0.0,0.0,9.841542936636314e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.8824061497848312e-17,0.0,2.568837203075989e-13,6.928872430730737e-19,8.192636880322185e-14,5.819263941252569e-17,0.0,0.0,1.2705741526526718e-17,0.0,1.554119222259859e-15,3.5065812966299583e-14,1.9162638168944413e-33,9.17280087295151e-31,0.0,0.0,6.115365731093426e-21,0.0,0.0,0.0,2.418521089623295e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9812617944159364e-16,0.0,0.0,0.0,6.922834132174378e-15,0.0,0.0
0.046,0.062197876225664424,298.00009291689895,1.1915036944096502,0.6802703881102514,0.0,0.06126939412333733,7.19360025803782e-18,0.051805261523093095,0.20665305530835776,5.896004542246253e-09,5.949103875340579e-42,8.618574130432862e-54,0.0,5.890112443600539e-26,0.0,1.8937139839106248e-06,1.0777404298904961e-75,3.33393465449935e-17,5.101911564260292e-13,0.0,8.945587783834555e-10,5.6130441651708056e-11,0.0,0.0,2.423988295540666e-19,9.408353503013416e-15,0.0,2.1146160289365306e-42,6.369896270089527e-12,7.491794391686047e-47,0.0,1.9912386785192886e-15,0.0,0.0,9.434773654594194e-32,2.9013006338673456e-12,9.067934590259073e-14,0.0,0.0,0.0,0.0,0.0,0.0,3.6274646821726076e-10,3.0950837004162297e-13,6.625882627380772e-14,8.296589594674932e-14,6.932561219567355e-14,0.0,0.0,1.6877380407957622e-13,1.2633096963468929e-13,1.2171664855427045e-28,2.1375198136910924e-14,1.0031884083094317e-14,6.005003369039365e-14,5.703941797352058e-16,0.0,2.5328784970069518e-30,0.0,1.7972395867310384e-19,0.0,1.311832011892759e-29,9.787353903389947e-31,5.131485111930223e-24,1.1983183962895102e-19,4.650783109490331e-14,2.736824339292181e-20,6.085038043145404e-18,3.071592259675911e-28,0.0,0.0,1.857760380251104e-40,4.945511619724586e-16,3.7345838364065665e-30,0.0,0.0,3.1769193742199185e-32,1.3057748150026968e-23,0.0,3.817808733164513e-15,2.1922726965281687e-14,5.7040047758828595e-25,2.141283007235855e-13,1.6503472373322718e-26,0.0,1.790092704368276e-46,0.0,8.962719562968281e-32,2.279366516291224e-39,1.4060628833379919e-18,2.054557610886187e-17,0.0,4.0961303872935165e-14,5.5194513582793116e-33,0.0,0.0,2.147980159698554e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.8838935176281288e-17,0.0,2.5688413139727967e-13,6.928904588952204e-19,8.192686859833757e-14,5.855661718140882e-17,0.0,0.0,1.0953649132250031e-16,0.0,1.5717869394643325e-15,3.506592433866159e-14,2.143083065547245e-33,1.025623287372745e-30,0.0,0.0,6.173935040896944e-21,0.0,0.0,0.0,2.569532009662672e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.031429491200051e-16,0.0,0.0,0.0,3.4279287561603226e-14,0.0,0.0
0.048,0.06220037777928786,298.00061810847336,1.1914557756082844,0.6802678804605599,0.0,0.06126972412388263,1.015627030131694e-17,0.05180498853192799,0.20665256561753387,4.0026542238152595e-08,0.0,1.0234229318565722e-53,0.0,2.1516675766125116e-25,0.0,4.791986591991283e-06,1.09660692015705e-75,3.333308375234857e-17,7.204564262695898e-13,0.0,6.191959714599441e-09,5.016368998436238e-10,0.0,0.0,3.4222231152069865e-19,1.4377397276076237e-14,0.0,2.6955934619529377e-41,5.3521009591957136e-11,6.2956550635786555e-46,0.0,2.303712837371958e-14,0.0,2.228929128213446e-14,9.663649485748766e-31,2.5157251103209655e-11,3.829496503572038e-13,0.0,0.0,0.0,7.945082755783316e-31,0.0,0.0,2.4707656477959107e-09,2.924916811852133e-12,6.781172111426356e-13,1.03469625660495e-12,6.933660102086143e-14,0.0,0.0,3.9221003775272985e-13,1.411194427041382e-12,1.9643418523045423e-27,3.396480174687761e-14,1.1759503281517199e-14,7.656762907195231e-13,8.236196614441457e-15,3.6670324667863653e-16,6.917175072556279e-30,2.159071463703686e-41,2.5372958034263146e-19,0.0,1.3119076785913153e-29,9.787937305155034e-31,5.451389711746475e-24,1.404627883281951e-19,5.451381009744245e-14,3.2080115564931255e-20,6.085431841333906e-18,3.071690506142734e-28,0.0,0.0,1.854972059726022e-40,4.94558821266683e-16,3.7350986810355495e-30,0.0,0.0,3.176705043802112e-32,1.3058613296428052e-23,0.0,3.8181109139002804e-15,5.147459832924567e-14,7.992778318796004e-25,5.327007711461132e-13,1.748323914561078e-25,7.585636731302567e-22,2.8445858597684032e-46,0.0,1.4163108800014356e-31,2.3107473247148847e-39,1.406074712508748e-18,2.143919999980357e-17,0.0,4.096067506811241e-14,5.5139773700122e-33,0.0,0.0,6.050824713270135e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.9110707853186663e-17,0.0,2.568852197538924e-13,6.929225772867191e-19,8.19336964682742e-14,5.909176454292863e-17,0.0,0.0,1.7876155550488854e-15,0.0,1.864613666481835e-15,3.506637440450903e-14,2.906091522921844e-33,1.3784360048385862e-30,0.0,0.0,7.306249145202639e-21,0.0,0.0,0.0,5.020414973460117e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8324419224921173e-16,0.0,0.0,0.0,3.6487189980594287e-13,0.0,0.0
0.049,0.06220337045860074,298.0020420089617,1.1913984540251858,0.6802650700905548,0.0,0.061270096603438906,1.8039276043371195e-17,0.05180463278802567,0.206651976296367,1.3434815227672013e-07,0.0,1.3024153101960562e-53,0.0,6.554643013358098e-25,0.0,8.058014601134539e-06,1.1036241895484722e-75,3.332644154578078e-17,1.2794873019151724e-12,0.0,2.1094880891451053e-08,2.092964279947754e-09,0.0,0.0,6.0783241131283945e-19,3.217810504456436e-14,7.865836649446352e-32,2.0305325038003974e-40,2.1250183158566892e-10,2.5006445934896404e-45,7.250184194585686e-36,9.962831980756681e-14,8.040114169249022e-26,2.1835907716690774e-13,7.332012754384007e-30,1.0274560439591562e-10,1.476737365785381e-12,5.150099699735075e-29,7.444807349396434e-28,0.0,9.292294863627357e-30,0.0,0.0,8.314258285573622e-09,1.2686528623279622e-11,3.140617873821724e-12,5.032491811159745e-12,6.937636626813563e-14,0.0,0.0,1.5477620073827639e-12,7.082017213323592e-12,1.7785707363265157e-26,9.130031171251606e-14,1.9779598278735783e-14,4.303213986068015e-12,5.003549391011088e-14,5.443805952439986e-15,1.9204620794294744e-29,8.301596215042407e-41,4.506242465672542e-19,6.373586357937991e-48,1.312170423619716e-29,9.789948762977237e-31,6.352408986053512e-24,2.3624461162231416e-19,9.168079020087337e-14,5.395629966718204e-20,6.086521374592806e-18,3.072128819854179e-28,0.0,0.0,1.8413548655429538e-40,4.945647956806986e-16,3.736416039619971e-30,0.0,0.0,3.1806545996984033e-32,1.3060843227952982e-23,0.0,3.818924999186418e-15,2.1460796702475186e-13,1.4080805355597988e-24,1.7248932436949487e-12,1.3229538742741439e-24,2.39109240264738e-20,7.649065756891774e-46,0.0,2.763904104274493e-31,2.392072653417742e-39,1.4060858506667073e-18,2.1899310169350074e-17,0.0,4.0960523033963905e-14,5.5158383120759686e-33,2.377401447698108e-18,0.0,4.525215757540794e-28,0.0,0.0,0.0,0.0,0.0,1.6420660056565902e-18,2.1033874784797878e-17,0.0,2.5688643889998e-13,6.931924475266543e-19,8.198193358246047e-14,5.962832912390407e-17,0.0,0.0,1.2959097610432995e-14,5.3945866726434946e-39,3.721417788778182e-15,3.506826389170611e-14,5.827770615727634e-33,2.6578842059346395e-30,0.0,8.605224774755565e-17,1.5657909636440197e-20,0.0,0.0,0.0,2.0243179808968856e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.729001956815317e-16,0.0,0.0,0.0,1.904352617007853e-12,0.0,0.0
0.05,0.06220949316051045,298.00766290824674,1.191281197433854,0.6802599580026318,0.0,0.061270783239706715,5.0018041781201245e-17,0.051803815985670756,0.20665074960409516,5.133433424839139e-07,0.0,0.0,0.0,3.2272410185278683e-24,0.0,1.4054099304110524e-05,1.1087154155299517e-75,3.331488955964846e-17,3.5489126342593507e-12,2.689770962502411e-13,8.196420789526434e-08,1.020233714489118e-08,5.4224058116046435e-27,3.708158176009644e-34,1.6853508400748892e-18,1.2313647016422485e-13,2.4143382506031105e-30,2.7266520145770655e-39,9.80224341536367e-10,1.155324166652659e-44,1.5290322643647033e-34,4.968075811910974e-13,1.6729172290412444e-24,1.3495831489862247e-12,1.013540747828559e-28,4.892619553321346e-10,7.299215986130793e-12,8.910125087031087e-28,1.9294557544571636e-26,7.122675846346573e-26,1.330083174590307e-28,0.0,7.828671869702147e-27,3.1860149285320176e-08,6.451914922844789e-11,1.7175741320948765e-11,2.8755851626786262e-11,6.957235319747732e-14,0.0,4.161819204523511e-16,9.901290494340952e-12,4.234387896923777e-11,2.8759609299147955e-25,4.932748164967651e-13,8.808129355187798e-14,2.9128979156368187e-11,3.6786240798614314e-13,4.605719451009629e-14,8.896404356469694e-29,3.540196271058609e-40,1.2492160871906998e-18,2.7395947233615862e-46,1.3132946674042918e-29,9.798538735873841e-31,1.1614544018081682e-23,1.0518368231254854e-18,4.080963155709078e-13,2.402488469434824e-19,6.090856559835681e-18,3.0741180068228724e-28,0.0,0.0,1.7256544010165546e-40,4.945741614830313e-16,3.7417901633222366e-30,0.0,2.554843798075858e-35,3.2541342585018583e-32,1.3069418797904202e-23,3.102640310637671e-14,3.825125027088398e-15,1.4697069228489276e-12,3.8782121469215856e-24,8.247053349239644e-12,3.0491510604265697e-23,5.469742779072593e-19,4.138683382832488e-45,3.270554520779034e-29,1.3366748318265287e-30,3.02838994613242e-39,1.4061068229579171e-18,2.2491303343515558e-17,0.0,4.09606143069761e-14,5.558120049803839e-33,3.02880995488029e-17,0.0,1.2443030308017642e-26,0.0,0.0,0.0,0.0,0.0,4.3320086088666664e-17,3.9836974864051865e-17,0.0,2.5688867653008826e-13,6.968015293734809e-19,8.247620157621008e-14,6.12025717026612e-17,0.0,3.733527580280309e-68,1.1588174416175611e-13,1.1370941958010706e-37,2.003926167940056e-14,3.50880132564331e-14,2.565591364084963e-32,1.1374317356960343e-29,3.707917411653804e-13,1.6373697984504132e-15,1.0057644982678395e-19,0.0,0.0,0.0,1.5138536374433375e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02718478033135e-15,1.123407350298629e-14,2.8390656813351447e-27,7.886273206645387e-36,1.1976179603801755e-11,3.117645299911473e-27,5.570313237123426e-35
