grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_C2H3F2(66),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_CF2O2(848),Y_S(961),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3687),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(6705),Y_S(6716),Y_S(7175),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074),Y_S(11306),Y_S(11379),Y_S(11400),Y_S(11401),Y_S(11405),Y_S(11554),Y_S(11595)
0.0,0.15977967747684407,298.0,1.2117471981536447,0.6666568594891765,0.0,0.08005722468836593,9.052469722725466e-15,0.05076857466397581,0.2025173411578062,2.6263567608779434e-17,1.2667109809200197e-14,0.0,0.0,3.0003752579459567e-16,0.0,3.2586463902918355e-14,2.0676149350218617e-68,0.0,0.0,4.868440647190346e-15,3.58878418933779e-17,1.6227363119938543e-17,0.0,9.749793231520713e-16,0.0,4.22435345284994e-17,0.0,1.523549507297765e-42,0.0,0.0,8.096449727335282e-32,1.6892614657396754e-16,0.0,0.0,6.647722273131187e-15,0.0,7.163942469983623e-15,0.0,0.0,1.5791134075939503e-30,8.70216475805948e-24,1.8897513971567883e-16,0.0,0.0,8.442705779025821e-16,0.0,0.0,0.0,2.9902148509054783e-16,0.0,0.0,8.391626176033458e-15,0.0,0.0,3.8218287934456705e-15,0.0,0.0,3.009615290530223e-17,7.261926630496698e-19,1.4508618022289561e-27,0.0,1.3684315659021262e-22,0.0,4.08455762523157e-32,3.0115691802274827e-33,4.071263471679411e-15,0.0,0.0,0.0,1.224410617728248e-14,0.0,0.0,7.600852000761344e-20,0.0,2.3132649894515613e-13,2.0751747458225699e-16,0.0,0.0,9.804797409277838e-25,0.0,0.0,1.0241340309263569e-17,2.4706832700413415e-14,0.0,0.0,1.2052200251698668e-32,0.0,1.131181630650828e-49,0.0,8.403118437496062e-32,6.855784097493805e-35,4.020190561183648e-19,0.0,0.0,0.0,0.0,3.6275141569778035e-19,0.0,2.1120931876953324e-20,1.7272596293443247e-16,3.452521313776761e-15,0.0,1.816262563211961e-15,2.0701298496691947e-13,2.5164231483341556e-17,2.237714601866245e-15,5.361234180006775e-19,1.0098232497387395e-18,0.0,0.0,0.0,2.6655455965020642e-15,0.0,0.0,0.0,0.0,2.370532100387893e-35,6.803625347561784e-15,0.0,0.0,0.0,5.631787501287383e-16,1.27050209405796e-17,0.0,0.0,0.0,0.0,0.0,1.0902733601889e-15,0.0,8.813566433766935e-14,2.761455603401595e-19,1.3274813020852048e-23,1.2772999478313757e-19,6.768385481121748e-18,4.08643088408628e-17,0.0,0.0,4.872615536958669e-16,4.881921886643755e-16,2.404760748915137e-19,0.0,0.0,0.0,1.00144450322227e-21,0.0,0.0,5.306082148156963e-17,5.32455491434394e-27,9.763675242037121e-20,1.226229822991351e-18,8.682189065339906e-20,4.596799774166075e-52
0.016,0.15977967747876223,297.9999999990842,1.2117471981393546,0.6666568594880358,0.0,0.08005722468862612,1.8883024794807392e-18,0.050768574663890106,0.20251734115768455,3.2893086648805697e-15,7.36555157681829e-22,0.0,0.0,0.0,0.0,1.14553330019839e-12,4.5213384209172136e-67,0.0,0.0,4.868440319622832e-15,4.631109227191663e-15,2.763131638880392e-15,0.0,1.0712843725670662e-22,0.0,7.222340619462699e-15,0.0,2.400685443328762e-40,0.0,0.0,9.327526058825873e-30,1.6892614696136126e-16,0.0,0.0,1.3374103307320735e-21,0.0,7.163673241141473e-15,0.0,0.0,3.095189482613856e-28,1.7341999078655306e-21,1.8897304622552641e-16,0.0,0.0,8.442705805731472e-16,0.0,0.0,0.0,1.318271166122379e-22,2.5793848766358454e-17,0.0,8.391626178931314e-15,0.0,0.0,4.731502280314043e-15,0.0,0.0,3.0075808394881176e-17,7.261926629808449e-19,3.7504432309460735e-25,0.0,4.772258855075754e-20,0.0,2.277728997131107e-29,1.6993739886340115e-30,3.2548650184259156e-21,0.0,0.0,0.0,5.963241662338287e-18,0.0,0.0,2.850756018514001e-17,0.0,2.313265219006767e-13,6.524433968179778e-23,0.0,0.0,1.8320215702251925e-22,0.0,0.0,4.743305726274187e-15,2.4706832675355893e-14,0.0,0.0,3.587899800464061e-30,0.0,3.962416902352841e-47,0.0,4.0081036075040993e-29,3.888774970990954e-32,2.3260487354273146e-16,0.0,0.0,0.0,0.0,1.1854419885823308e-16,0.0,2.1075156904951963e-20,2.9580042394482177e-22,7.967217608109685e-21,0.0,4.520877404450977e-22,2.0221336340470603e-13,1.9666421015824225e-22,2.2377146031564508e-15,2.5017886387913935e-16,1.0096202201720008e-18,0.0,0.0,0.0,2.666459971540422e-15,0.0,0.0,0.0,0.0,8.89261035954398e-33,6.803625332963099e-15,0.0,0.0,0.0,5.631787497967648e-16,4.649264913348602e-15,0.0,0.0,0.0,0.0,0.0,1.090273360186635e-15,0.0,8.81356643424577e-14,1.3857319392935233e-16,6.7398567461691254e-21,6.388464239985191e-17,2.4373953576108174e-15,4.0864311233379755e-17,0.0,0.0,7.525633941331175e-22,4.881921886718407e-16,9.811816759147147e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.3060821466033534e-17,2.7824950880347422e-24,5.0396171004695575e-17,4.869428717527635e-16,3.638717192897369e-17,1.6042416855404115e-49
0.032,0.1597796775636955,297.99999999906765,1.2117471974952472,0.6666568594517132,0.0,0.08005722469472965,0.0,0.0507685746607328,0.20251734115156736,2.125429355585229e-15,4.2993705300518224e-29,0.0,0.0,0.0,0.0,4.0640385852461776e-11,0.0,0.0,0.0,4.86844052411544e-15,4.634869281542297e-15,2.7631506713281576e-15,0.0,1.180501193967935e-29,0.0,7.222342208099872e-15,0.0,0.0,0.0,0.0,1.1925030324620783e-36,1.6892615132751502e-16,1.0518633361245132e-29,0.0,2.696217111503697e-28,0.0,7.163673299109457e-15,0.0,0.0,1.0735809988992305e-28,7.978771701546861e-27,1.8897304405464757e-16,2.305775053992753e-27,0.0,8.442708828492734e-16,0.0,0.0,0.0,0.0,1.2348329670964394e-16,0.0,8.391626198296928e-15,0.0,0.0,4.3016162524341555e-15,0.0,0.0,3.006165809376904e-17,7.2619266305324e-19,0.0,0.0,0.0,0.0,2.2777289963678214e-29,1.69937400363674e-30,6.248998696786002e-24,0.0,0.0,0.0,5.963188386720529e-18,3.995309384362161e-28,0.0,2.85075607802545e-17,0.0,2.3132654488198814e-13,5.249716927016056e-29,0.0,0.0,3.2514705351462156e-29,0.0,0.0,4.743309456247259e-15,2.470683267165595e-14,0.0,0.0,2.505710740924222e-30,0.0,3.602464438358235e-47,0.0,0.0,3.1240236483589607e-38,2.3260496879912076e-16,0.0,0.0,0.0,0.0,3.563779964567557e-17,0.0,2.1025243284850425e-20,4.894962620162756e-25,1.8688413832656627e-26,0.0,1.1949772658268842e-28,2.0221306091487944e-13,1.9587259406040084e-22,2.2377146035416228e-15,1.5885001679485474e-16,1.0104651071639482e-18,0.0,0.0,0.0,2.666459969554266e-15,0.0,0.0,0.0,0.0,2.7243026136167357e-39,6.8036253227019485e-15,0.0,0.0,0.0,5.631787495339715e-16,4.649275538413543e-15,0.0,0.0,0.0,0.0,0.0,1.0902733602616725e-15,0.0,8.813566435351951e-14,1.3402440884549137e-16,5.2270522427337996e-21,6.843525124921448e-17,2.437395963312942e-15,4.086431123617194e-17,0.0,0.0,2.789392684313587e-25,4.881921887143105e-16,2.2808764551741767e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.306082145256515e-17,1.0314466681239161e-27,5.004395763771132e-17,5.624127310541962e-16,3.640065468846002e-17,1.6042607571979056e-49
0.04,0.159779678704687,297.999999999075,1.2117471888421325,0.6666568589639322,0.0,0.08005722477656686,0.0,0.050768574618317464,0.20251734106940913,2.374999610332021e-15,5.096372052550869e-36,0.0,0.0,0.0,0.0,5.711578769098996e-10,0.0,0.0,0.0,4.868455646793708e-15,4.816971663246977e-15,2.76433897815367e-15,2.3042987348065672e-29,2.6184387891909914e-36,0.0,7.222342699468662e-15,0.0,0.0,0.0,0.0,2.003060114839007e-43,1.6892647200727078e-16,1.0486351162355417e-29,0.0,1.0961069558546195e-34,0.0,7.163674802026774e-15,0.0,0.0,8.071268481004972e-29,7.063926772810657e-32,1.889730435667764e-16,2.942177317325963e-27,0.0,8.442910956242987e-16,0.0,0.0,0.0,0.0,1.5584277399691923e-16,0.0,8.391627363916543e-15,0.0,0.0,4.09383464660998e-15,0.0,0.0,3.0056095170936934e-17,7.261926721455575e-19,0.0,2.355571340660984e-40,0.0,0.0,2.2777289847615672e-29,1.699373994977455e-30,6.246381108884046e-24,0.0,0.0,0.0,5.963188384306724e-18,3.999928042506015e-28,0.0,2.850756035233977e-17,0.0,2.313265566607766e-13,3.1969626855470975e-29,0.0,0.0,0.0,0.0,0.0,4.743309420961164e-15,2.4706832685515787e-14,0.0,0.0,1.97907316931428e-30,0.0,3.428454143816409e-47,0.0,0.0,1.9005958819448827e-38,2.326049802160345e-16,0.0,0.0,0.0,0.0,1.6482236707248697e-17,0.0,2.0999279697382582e-20,4.876521497183166e-25,3.2039470794093103e-28,0.0,6.819874830868767e-30,2.0221306102034206e-13,1.9587259108843372e-22,2.2377146061440923e-15,1.0568744411027338e-16,1.0108875610122435e-18,0.0,0.0,0.0,2.6664599712821774e-15,0.0,0.0,0.0,0.0,1.166269213959473e-45,6.803625322907368e-15,0.0,0.0,0.0,5.631787511452794e-16,4.649275515484559e-15,0.0,0.0,0.0,0.0,0.0,1.0902733613059518e-15,0.0,8.813566444725728e-14,1.337216464436001e-16,4.567219648261935e-21,6.873866966677968e-17,2.4373959663132957e-15,4.086431127917924e-17,0.0,0.0,2.4943438145379366e-25,4.881921891880845e-16,1.2393677032113205e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.3060822070091335e-17,9.222131481196239e-28,4.98675111865627e-17,5.729096112817345e-16,3.640668308497742e-17,1.604260776362034e-49
0.044,0.1597796866533232,297.99999999943424,1.2117471285607813,0.6666568555659551,0.0,0.08005722534663119,0.0,0.05076857432281276,0.20251734049706557,2.171692095979673e-14,1.2191553450259052e-42,0.0,0.0,0.0,0.0,4.266894720027063e-09,0.0,0.0,0.0,4.868986085623493e-15,9.260885994482255e-15,2.8026996189232696e-15,1.9646819539753172e-29,0.0,0.0,7.222357930229009e-15,0.0,0.0,0.0,0.0,0.0,1.689370799761461e-16,1.0335955972429731e-29,0.0,0.0,0.0,7.163723431198403e-15,0.0,0.0,6.762443672327786e-29,0.0,1.8897306226814112e-16,3.177084031974316e-27,0.0,8.449766800782392e-16,0.0,0.0,0.0,0.0,1.6828555818402788e-16,0.0,8.391674623887318e-15,0.0,0.0,3.991455413389493e-15,0.0,0.0,3.005386588853689e-17,7.261931474732609e-19,0.0,0.0,0.0,0.0,2.277728904024342e-29,1.69937393474305e-30,6.246351367024777e-24,0.0,0.0,0.0,5.963188367727529e-18,3.9999281235743365e-28,0.0,2.8507560334569027e-17,2.4711902793087983e-40,2.313265644452314e-13,3.196961662191588e-29,0.0,0.0,0.0,0.0,0.0,4.7433094336966e-15,2.4706832919369014e-14,0.0,0.0,1.7151705672707715e-30,0.0,3.342714899202733e-47,0.0,0.0,1.900825983009044e-38,2.326049878005441e-16,0.0,0.0,0.0,0.0,1.043024457156576e-17,0.0,2.098604916690776e-20,4.874121325815052e-25,3.3240392352368205e-28,0.0,6.819818773540045e-30,2.0221306229706964e-13,1.9587259096909605e-22,2.2377146300571244e-15,8.157570112377509e-17,1.0110987951891433e-18,0.0,0.0,0.0,2.666459990929399e-15,0.0,0.0,0.0,0.0,0.0,6.80362536268745e-15,0.0,0.0,0.0,5.631788470819582e-16,4.64927553624071e-15,0.0,0.0,0.0,0.0,0.0,1.0902733703015329e-15,0.0,8.813566505079193e-14,1.3368615181176744e-16,4.2598492574897015e-21,6.877447271865521e-17,2.437395984457437e-15,4.086431159287972e-17,0.0,0.0,2.4307638165552813e-25,4.881921923946247e-16,1.0136776067007083e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.30608536120581e-17,8.987099344339838e-28,4.9779345132290796e-17,5.752076269291844e-16,3.640962087979109e-17,1.6042617302780986e-49
0.048,0.15977976313712763,298.00000001094753,1.2117465485184993,0.6666568228720698,0.0,0.08005723083158606,0.0,0.050768571478785655,0.20251733498986646,6.537648045735218e-13,3.304575864947382e-45,0.0,0.0,0.0,0.0,3.982623056202745e-08,0.0,0.0,0.0,4.893919059150213e-15,1.5533762108678777e-13,4.466609730485667e-15,1.6300181522269654e-29,0.0,0.0,7.223020227171819e-15,0.0,0.0,4.1080664429102297e-16,0.0,0.0,1.694071434894078e-16,1.0184233568118987e-29,0.0,0.0,0.0,7.16594212414134e-15,0.0,0.0,5.474476479914972e-29,0.0,1.8897401878408085e-16,3.353777648115129e-27,4.064232238404377e-14,8.762170339810174e-16,0.0,0.0,0.0,0.0,1.776460195111184e-16,0.0,8.394272883106072e-15,0.0,0.0,3.8905235651373905e-15,0.0,0.0,3.0064361547094593e-17,7.262278664121813e-19,0.0,0.0,0.0,0.0,2.2777281301731857e-29,1.6993733574579692e-30,6.246063689744063e-24,0.0,0.0,0.0,5.963188214335801e-18,3.99992638044096e-28,0.0,2.850756210136943e-17,2.4711826527897904e-40,2.3132658996309894e-13,3.1969634190198555e-29,0.0,0.0,0.0,0.0,0.0,4.743309662857078e-15,2.4706841561447683e-14,0.0,0.0,1.2709083456473762e-30,0.0,3.258187803090669e-47,0.0,0.0,1.9011753409624841e-38,2.326050132466684e-16,0.0,0.0,0.0,0.0,6.595682540459625e-18,0.0,2.097258035819018e-20,4.8727899129872815e-25,3.4431921945269917e-28,0.0,6.819822673980574e-30,2.0221307523015398e-13,1.9587260319802615e-22,2.2377151702284396e-15,6.142372943892331e-17,1.0113100999317621e-18,0.0,0.0,0.0,2.666460180895459e-15,0.0,0.0,0.0,0.0,0.0,6.803625799373619e-15,0.0,0.0,0.0,5.631854502012258e-16,4.649275847665144e-15,0.0,0.0,0.0,0.0,0.0,1.0902735945779736e-15,0.0,8.813567069261736e-14,1.3367792608466278e-16,3.973352453059461e-21,6.878300112539938e-17,2.4373961511213023e-15,4.086431449129463e-17,0.0,0.0,2.400990906469756e-25,4.881922230322714e-16,9.156365385429032e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.3062968669676095e-17,8.87706038293488e-28,4.9691294454870664e-17,5.762293925726706e-16,3.6412524884573266e-17,1.6043256818075037e-49
0.049,0.15977988531391452,298.0000000690851,1.2117456219482587,0.6666567706572379,0.0,0.08005723959176753,0.0,0.05076856693297918,0.20251732619267165,3.8966722715204235e-12,3.065383841277308e-45,0.0,0.0,0.0,0.0,9.661961365510864e-08,0.0,0.0,0.0,5.079368326508369e-15,9.193005688613223e-13,1.5899610184025823e-14,1.5480251630245806e-29,0.0,0.0,7.227585974253395e-15,0.0,0.0,3.1680151812032005e-15,3.735292447341094e-50,0.0,1.7270564805134593e-16,1.0339943010158155e-29,0.0,0.0,0.0,7.181987911430236e-15,0.0,2.243897955385808e-31,5.16110144368577e-29,0.0,1.8898168098109052e-16,3.394344463248123e-27,2.878900456427344e-13,1.1015760914142408e-15,0.0,0.0,0.0,0.0,1.7979683113110896e-16,0.0,8.416851838480502e-15,0.0,0.0,3.8654752869445365e-15,0.0,0.0,3.020122376303509e-17,7.266298710619556e-19,0.0,1.1930463385805493e-47,0.0,2.4882011816007213e-55,2.2777269089362836e-29,1.6993724466769936e-30,6.245605199286404e-24,0.0,0.0,0.0,5.963187999582231e-18,3.9999236175877547e-28,0.0,2.850756524207472e-17,2.471180510863259e-40,2.3132662286464885e-13,3.196966079786429e-29,0.0,0.0,0.0,0.0,0.0,4.7433102152908184e-15,2.4706924610685696e-14,0.0,0.0,0.0,0.0,3.2372107422993816e-47,0.0,0.0,1.901282309128607e-38,2.3260504601073e-16,0.0,0.0,0.0,0.0,5.761413236930746e-18,0.0,2.09692384470617e-20,4.872500133155017e-25,3.472795716957718e-28,0.0,6.819828999561062e-30,2.022130960251986e-13,1.9587262523028454e-22,2.237720761688433e-15,5.665559430858633e-17,1.011363154363404e-18,0.0,0.0,0.0,2.6664604914634824e-15,0.0,0.0,0.0,0.0,0.0,6.8036266049285784e-15,0.0,0.0,0.0,5.632578047637226e-16,4.649276387967576e-15,0.0,0.0,0.0,0.0,0.0,1.0902756717754912e-15,0.0,8.813567975496893e-14,1.3367683126041197e-16,3.903038847182643e-21,6.878419269953109e-17,2.4373964317136335e-15,4.0864319213334185e-17,0.0,0.0,2.3951682738621187e-25,4.881922720110337e-16,8.97238263120221e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.3085432870449907e-17,8.855537849989912e-28,4.966929511734704e-17,5.764237495384463e-16,3.64132530056601e-17,1.60500486692476e-49
0.05,0.15978027100574635,298.0000005735352,1.211742696929084,0.6666566059107247,0.0,0.08005726723342856,0.0,0.05076855256302269,0.20251729842191,3.245378389317834e-11,0.0,0.0,0.0,0.0,2.813077579370278e-23,2.758274243268656e-07,0.0,0.0,0.0,7.397603197775882e-15,7.770374336041354e-12,1.4845240140482206e-13,1.4456222382150388e-29,1.2073780616276954e-35,0.0,7.280687127560094e-15,6.669747833305797e-34,0.0,3.320380126712724e-14,3.917227284338794e-49,7.752399346302715e-38,2.1171837959827947e-16,9.393066403264577e-29,0.0,1.9805435749365734e-34,0.0,7.377316709654387e-15,0.0,5.377262538940059e-30,4.667094363497441e-29,0.0,1.890847312731159e-16,3.4316866904166625e-27,2.470958592911051e-12,3.8378789111033065e-15,3.5946212833386896e-16,0.0,0.0,2.697683243884614e-28,1.8178130934022595e-16,0.0,8.74436717973942e-15,0.0,0.0,3.842605943797134e-15,0.0,0.0,3.2689959199994433e-17,7.343253708238172e-19,0.0,0.0,0.0,1.097839388961243e-51,2.2777231742401758e-29,1.699369663431023e-30,6.2441304305310185e-24,0.0,0.0,0.0,5.963187566096381e-18,3.9999150634826106e-28,0.0,2.850757550994256e-17,2.471179439638183e-40,2.313267236140577e-13,3.196974585422472e-29,1.8400242668407281e-31,0.0,0.0,0.0,0.0,4.743311991499098e-15,2.4708415487290928e-14,0.0,0.0,0.0,0.0,3.2180587837146284e-47,0.0,0.0,1.9013933850997326e-38,2.3260514650840503e-16,0.0,0.0,0.0,0.0,5.033537272652779e-18,0.0,2.0966684516315045e-20,4.872243828320247e-25,3.5016663205160807e-28,0.0,6.819850079741955e-30,2.022131668621544e-13,1.9587269971195557e-22,2.237834630382275e-15,5.216034022276918e-17,1.0114195023943565e-18,0.0,0.0,0.0,2.6664615574678946e-15,0.0,0.0,0.0,0.0,7.424692027228334e-41,6.80363148482284e-15,0.0,0.0,0.0,5.645739943418446e-16,4.649278804375934e-15,0.0,0.0,0.0,0.0,0.0,1.0903168672375997e-15,0.0,8.813570828119192e-14,1.336762888263462e-16,3.833989363704581e-21,6.878488715497169e-17,2.4373975690471816e-15,4.086433420645918e-17,0.0,0.0,2.3905453588415185e-25,4.8819242634756455e-16,8.833503061137608e-18,0.0,0.0,0.0,0.0,3.5557262417066633e-38,0.0,5.348100310156614e-17,8.838438693601663e-28,4.964731721488224e-17,5.7657315022691825e-16,3.6413991957653344e-17,1.6169643893673451e-49
0.051000000000000004,0.15978148952146903,298.0000049503612,1.211733456012234,0.6666560861650745,0.0,0.08005735445178246,0.0,0.05076850701049125,0.2025172106867582,2.839250061399059e-10,1.344916441217922e-41,0.0,0.0,0.0,2.718363970727148e-23,8.413081872460282e-07,0.0,0.0,0.0,9.926379124626048e-15,6.920971522741016e-11,1.6852581581719564e-12,1.4256198788389933e-29,1.3912152346436544e-35,0.0,7.898277794575526e-15,7.104033820216842e-33,0.0,3.6040125170919084e-13,6.622597769095142e-48,5.647871286067875e-37,6.731389882060836e-16,4.0149851577991856e-27,0.0,2.13968775125213e-33,1.1777769158970132e-13,9.754257625064957e-15,2.095388588678049e-32,5.313353223660259e-29,4.550525859557327e-29,2.0098443887299167e-33,1.9047146433019275e-16,3.467814289843488e-27,2.174638592058344e-11,3.706209806270681e-14,5.2677562174385025e-15,0.0,0.0,2.606886400360132e-28,1.8371565892391343e-16,0.0,1.3495175473404946e-14,0.0,1.0056616561792918e-29,3.8617390420941e-15,0.0,0.0,7.780202135837367e-17,8.816559715243001e-19,0.0,1.8464378876855018e-41,0.0,7.439911816381777e-50,2.2777124206946344e-29,1.699361667694132e-30,6.24574594616541e-24,0.0,0.0,0.0,5.963188316477816e-18,3.999889499413782e-28,0.0,2.8507613980909e-17,2.4711847616229053e-40,2.313270384101841e-13,3.19700325871331e-29,1.7780608559707968e-31,0.0,0.0,0.0,0.0,4.743319155208702e-15,2.473565627639949e-14,0.0,0.0,0.0,0.0,3.2340802968215383e-47,0.0,0.0,1.901490257936769e-38,2.3260546058971807e-16,0.0,0.0,0.0,0.0,4.417719278348859e-18,0.0,2.0980588919070305e-20,4.872036037797773e-25,3.528077139180886e-28,0.0,6.819937123267977e-30,2.0221338069583454e-13,1.9587299819364958e-22,2.2402282137435383e-15,4.795693783300979e-17,1.0115491529949377e-18,0.0,0.0,0.0,2.666467156958364e-15,0.0,0.0,0.0,0.0,5.560259446346059e-40,6.803695732224536e-15,0.0,0.0,0.0,5.885258395326678e-16,4.649303117751199e-15,0.0,0.0,0.0,0.0,0.0,1.091165667619237e-15,0.0,8.813580024136617e-14,1.3367614948151714e-16,3.766183469929136e-21,6.878535517335936e-17,2.43740723739916e-15,4.086438600628547e-17,0.0,0.0,2.386850111013451e-25,4.881929132666715e-16,8.728681004016125e-18,0.0,0.0,0.0,0.0,1.461674998827137e-36,0.0,6.044743630507321e-17,8.824728700159898e-28,4.9625389814690493e-17,5.766889412705557e-16,3.641484856789799e-17,1.8275833457764616e-49
0.052000000000000005,0.1597853474371091,298.000042924287,1.2117041994789701,0.6666544468566163,0.0,0.08005762965338442,5.743177735349324e-18,0.05076836158983742,0.20251693288814746,2.4983771115062996e-09,1.4340592539419624e-41,1.8665416228486412e-55,0.0,7.029285115451677e-26,2.6253011551204522e-23,2.6256748661879873e-06,0.0,0.0,3.0942131945562435e-13,1.6008949079983455e-14,6.201941843212341e-10,1.9503039603460136e-11,1.6591073167547565e-29,3.294779341596287e-35,1.934863892041456e-19,1.5081243365362024e-14,5.965689656818165e-32,1.318064843517752e-42,3.9247944270513906e-12,5.08901611096719e-47,4.819280112462473e-36,6.130620020047737e-15,4.025561876561787e-26,0.0,4.114578871929773e-32,1.5568941009247392e-12,3.868949558469072e-14,1.8178589227310945e-30,4.430907371355636e-28,7.120302327815515e-29,5.376938898524642e-32,2.091356004224683e-16,3.537425058655046e-27,1.919409117902908e-10,4.404752031981507e-13,6.98611938716104e-14,5.941699100394383e-14,3.362989893240661e-14,2.517687938055098e-28,1.8746939424869805e-16,0.0,8.24094266281996e-14,2.923143943779387e-32,1.695991958482826e-28,4.228435811504703e-15,0.0,0.0,8.95399081060029e-16,3.7023853261177514e-18,3.481182318518833e-30,0.0,1.906117242848079e-19,2.16856405143877e-48,2.2776874342683193e-29,1.6993432625802833e-30,6.438464677557968e-24,0.0,0.0,0.0,5.963209060881422e-18,3.9998212208642573e-28,0.0,2.850787820766703e-17,2.4712580881019796e-40,2.3132802853718874e-13,3.197112379184938e-29,1.717155597050072e-31,0.0,0.0,0.0,0.0,4.743373196047088e-15,2.5234962395320666e-14,5.900092570662866e-25,0.0,0.0,2.0286162310551377e-21,3.541160523509201e-47,0.0,0.0,1.9014562745975406e-38,2.326064483265313e-16,0.0,0.0,0.0,0.0,4.368242781024048e-18,2.4615050136642907e-36,2.1349584301051255e-20,4.871957956588496e-25,3.5356043668029952e-28,0.0,6.820640738512431e-30,2.022140815503433e-13,1.9587511023383374e-22,2.2907709676440836e-15,4.438529667661512e-17,1.013405452997565e-18,0.0,0.0,0.0,2.6665413107727077e-15,0.0,0.0,0.0,1.0776164564943962e-18,4.761915822564649e-39,6.8049324289323054e-15,0.0,0.0,1.9153800240592472e-31,1.024435075865928e-15,4.649776750633566e-15,0.0,0.0,0.0,0.0,0.0,1.1087597473478833e-15,0.0,8.813613573460422e-14,1.3367654023491328e-16,3.699595365557883e-21,6.878585193628055e-17,2.4375802343169534e-15,4.086466466854394e-17,0.0,0.0,2.38396610046785e-25,4.881944518616489e-16,8.649475161084939e-18,0.0,0.0,0.0,0.0,3.979647469845384e-35,0.0,1.8313811506374193e-16,8.813878314213858e-28,4.9603603885536885e-17,5.76780603297907e-16,3.641828143126558e-17,5.536961602132084e-49
